# EDCF-Shield PEM+HMAC  scenario=v1a
# key_mode=STOLEN_KEY(atk_has_key=1)
# CYCLE=this cycle window; CUMULATIVE=all cycles
# atk_count rows appear in order as you run each count
# External atk TN>0 FN=0=HMAC detects; Stolen TN=0 FN>0=HMAC blind
atk_count,atk_pct,cycle,row_type,t,TP,TN,FP,FN,Accuracy,MCC,FPR,F1,Precision,Recall,hmac_checks,hmac_detected,det_rate,fake_pkts,wrong_fm,cascade,topo_err,atk_rate,legit_total,legit_drop,PDR_pct,wifi_flood,wifi_legit,ch_load_pct
# --- atk_count=1  atk_pct=11.1%  nodes=9  key=STOLEN  scenario=v1a ---
1,11.1,1,CYCLE,4.50,18,0,0,48,0.272727,0.000000,0.000000,0.428571,1.000000,0.272727,66,0,0.0000,36,12,0,0,10.667,18,0,31.43,30,5,85.7143
1,11.1,1,CUMULATIVE,4.50,18,0,0,48,0.272727,0.000000,0.000000,0.428571,1.000000,0.272727,66,0,0.0000,36,12,0,0,10.667,18,0,31.43,30,5,85.7143
1,11.1,2,CYCLE,8.50,18,0,0,51,0.260870,0.000000,0.000000,0.413793,1.000000,0.260870,69,0,0.0000,36,15,0,0,6.000,18,0,31.43,30,5,85.7143
1,11.1,2,CUMULATIVE,8.50,36,0,0,99,0.266667,0.000000,0.000000,0.421053,1.000000,0.266667,135,0,0.0000,72,27,0,0,11.647,36,0,31.43,60,10,85.7143
# --- atk_count=3  atk_pct=27.3%  nodes=11  key=STOLEN  scenario=v1a ---
3,27.3,1,CYCLE,4.50,18,0,0,60,0.230769,0.000000,0.000000,0.375000,1.000000,0.230769,78,0,0.0000,48,12,0,0,13.333,18,0,28.89,40,5,88.8889
3,27.3,1,CUMULATIVE,4.50,18,0,0,60,0.230769,0.000000,0.000000,0.375000,1.000000,0.230769,78,0,0.0000,48,12,0,0,13.333,18,0,28.89,40,5,88.8889
3,27.3,2,CYCLE,8.50,18,0,0,63,0.222222,0.000000,0.000000,0.363636,1.000000,0.222222,81,0,0.0000,48,15,0,0,7.412,18,0,28.89,40,5,88.8889
3,27.3,2,CUMULATIVE,8.50,36,0,0,123,0.226415,0.000000,0.000000,0.369231,1.000000,0.226415,159,0,0.0000,96,27,0,0,14.471,36,0,28.89,80,10,88.8889
# --- atk_count=5  atk_pct=38.5%  nodes=13  key=STOLEN  scenario=v1a ---
5,38.5,1,CYCLE,4.50,18,0,0,68,0.209302,0.000000,0.000000,0.346154,1.000000,0.209302,86,0,0.0000,56,12,0,0,15.111,18,0,27.84,46,5,90.1961
5,38.5,1,CUMULATIVE,4.50,18,0,0,68,0.209302,0.000000,0.000000,0.346154,1.000000,0.209302,86,0,0.0000,56,12,0,0,15.111,18,0,27.84,46,5,90.1961
5,38.5,2,CYCLE,8.50,18,0,0,71,0.202247,0.000000,0.000000,0.336449,1.000000,0.202247,89,0,0.0000,56,15,0,0,8.353,18,0,27.84,46,5,90.1961
5,38.5,2,CUMULATIVE,8.50,36,0,0,139,0.205714,0.000000,0.000000,0.341232,1.000000,0.205714,175,0,0.0000,112,27,0,0,16.353,36,0,27.84,92,10,90.1961
# --- atk_count=8  atk_pct=50.0%  nodes=16  key=STOLEN  scenario=v1a ---
8,50.0,1,CYCLE,4.50,18,0,0,81,0.181818,0.000000,0.000000,0.307692,1.000000,0.181818,99,0,0.0000,69,12,0,0,18.000,18,0,26.56,56,5,91.8033
8,50.0,1,CUMULATIVE,4.50,18,0,0,81,0.181818,0.000000,0.000000,0.307692,1.000000,0.181818,99,0,0.0000,69,12,0,0,18.000,18,0,26.56,56,5,91.8033
8,50.0,2,CYCLE,8.50,18,0,0,84,0.176471,0.000000,0.000000,0.300000,1.000000,0.176471,102,0,0.0000,69,15,0,0,9.882,18,0,26.56,56,5,91.8033
8,50.0,2,CUMULATIVE,8.50,36,0,0,165,0.179104,0.000000,0.000000,0.303797,1.000000,0.179104,201,0,0.0000,138,27,0,0,19.412,36,0,26.56,112,10,91.8033
# --- atk_count=10  atk_pct=55.6%  nodes=18  key=STOLEN  scenario=v1a ---
10,55.6,1,CYCLE,4.50,18,0,0,89,0.168224,0.000000,0.000000,0.288000,1.000000,0.168224,107,0,0.0000,77,12,0,0,19.778,18,0,25.97,62,5,92.5373
10,55.6,1,CUMULATIVE,4.50,18,0,0,89,0.168224,0.000000,0.000000,0.288000,1.000000,0.168224,107,0,0.0000,77,12,0,0,19.778,18,0,25.97,62,5,92.5373
10,55.6,2,CYCLE,8.50,18,0,0,94,0.160714,0.000000,0.000000,0.276923,1.000000,0.160714,112,0,0.0000,79,15,0,0,11.059,18,0,25.80,64,5,92.7536
10,55.6,2,CUMULATIVE,8.50,36,0,0,183,0.164384,0.000000,0.000000,0.282353,1.000000,0.164384,219,0,0.0000,156,27,0,0,21.529,36,0,25.88,126,10,92.6471
