# EDCF-Shield HMAC log  scenario=v2a
t,sender,receiver,pkt_type,hmac_valid,attack_detected
1.0000,C0,C1,C2C,YES,LEGIT
1.0000,C0,C2,C2C,YES,LEGIT
1.0000,C1,C0,C2C,YES,LEGIT
1.0000,C1,C2,C2C,YES,LEGIT
1.0000,C2,C0,C2C,YES,LEGIT
1.0000,C2,C1,C2C,YES,LEGIT
1.0001,V0,C0,BEACON,YES,LEGIT
1.0001,V1,C0,BEACON,YES,LEGIT
1.0001,V2,C1,BEACON,YES,LEGIT
1.0001,V3,C2,BEACON,YES,LEGIT
1.0001,V4,C2,BEACON,YES,LEGIT
1.0001,C0,V0,FLOWMOD,YES,LEGIT
1.0001,C0,V1,FLOWMOD,YES,LEGIT
1.0001,C1,V2,FLOWMOD,YES,LEGIT
1.0001,C2,V3,FLOWMOD,YES,LEGIT
1.0001,C2,V4,FLOWMOD,YES,LEGIT
1.5001,ATK,V2,FAKE_ALERT,NO,DETECTED
1.9518,V2,V0,CASCADE,YES,LEGIT
1.9521,V2,V3,CASCADE,YES,LEGIT
1.9557,V2,V4,CASCADE,YES,LEGIT
1.9599,V2,V1,CASCADE,YES,LEGIT
2.6001,V0,C0,RECOMPUTE,YES,LEGIT
2.6001,V1,C0,RECOMPUTE,YES,LEGIT
2.6001,V2,C1,RECOMPUTE,YES,LEGIT
2.6001,V3,C2,RECOMPUTE,YES,LEGIT
2.6001,V4,C2,RECOMPUTE,YES,LEGIT
3.3500,C1,C0,C2C,YES,LEGIT
3.3500,C1,C2,C2C,YES,LEGIT
3.3501,C1,V2,WRONG_FM,YES,CHECK
3.9501,C0,V0,WRONG_FM,YES,CHECK
3.9501,C0,V1,WRONG_FM,YES,CHECK
3.9501,C2,V3,WRONG_FM,YES,CHECK
3.9501,C2,V4,WRONG_FM,YES,CHECK
5.0000,C0,C1,C2C,YES,LEGIT
5.0000,C0,C2,C2C,YES,LEGIT
5.0000,C1,C0,C2C,YES,LEGIT
5.0000,C1,C2,C2C,YES,LEGIT
5.0000,C2,C0,C2C,YES,LEGIT
5.0000,C2,C1,C2C,YES,LEGIT
5.0001,V0,C0,BEACON,YES,LEGIT
5.0001,V1,C0,BEACON,YES,LEGIT
5.0001,V2,C1,BEACON,YES,LEGIT
5.0001,V3,C2,BEACON,YES,LEGIT
5.0001,V4,C2,BEACON,YES,LEGIT
5.0001,C0,V0,FLOWMOD,YES,LEGIT
5.0001,C0,V1,FLOWMOD,YES,LEGIT
5.0001,C1,V2,FLOWMOD,YES,LEGIT
5.0001,C2,V3,FLOWMOD,YES,LEGIT
5.0001,C2,V4,FLOWMOD,YES,LEGIT
5.5001,ATK,V2,FAKE_ALERT,NO,DETECTED
5.9501,V2,V0,CASCADE,YES,LEGIT
5.9506,V2,V1,CASCADE,YES,LEGIT
5.9510,V2,V3,CASCADE,YES,LEGIT
5.9513,V2,V4,CASCADE,YES,LEGIT
6.6001,V0,C0,RECOMPUTE,YES,LEGIT
6.6001,V1,C0,RECOMPUTE,YES,LEGIT
6.6001,V2,C1,RECOMPUTE,YES,LEGIT
6.6001,V3,C2,RECOMPUTE,YES,LEGIT
6.6001,V4,C2,RECOMPUTE,YES,LEGIT
7.3500,C1,C0,C2C,YES,LEGIT
7.3500,C1,C2,C2C,YES,LEGIT
7.3501,C1,V2,WRONG_FM,YES,CHECK
7.9501,C0,V0,WRONG_FM,YES,CHECK
7.9501,C0,V1,WRONG_FM,YES,CHECK
7.9501,C2,V3,WRONG_FM,YES,CHECK
7.9501,C2,V4,WRONG_FM,YES,CHECK
9.0000,C0,C1,C2C,YES,LEGIT
9.0000,C0,C2,C2C,YES,LEGIT
9.0000,C1,C0,C2C,YES,LEGIT
9.0000,C1,C2,C2C,YES,LEGIT
9.0000,C2,C0,C2C,YES,LEGIT
9.0000,C2,C1,C2C,YES,LEGIT
9.0001,V0,C0,BEACON,YES,LEGIT
9.0001,V1,C0,BEACON,YES,LEGIT
9.0001,V2,C1,BEACON,YES,LEGIT
9.0001,V3,C2,BEACON,YES,LEGIT
9.0001,V4,C2,BEACON,YES,LEGIT
9.0001,C0,V0,FLOWMOD,YES,LEGIT
9.0001,C0,V1,FLOWMOD,YES,LEGIT
9.0001,C1,V2,FLOWMOD,YES,LEGIT
9.0001,C2,V3,FLOWMOD,YES,LEGIT
9.0001,C2,V4,FLOWMOD,YES,LEGIT
9.5001,ATK,V2,FAKE_ALERT,NO,DETECTED
9.9501,V2,V0,CASCADE,YES,LEGIT
9.9506,V2,V1,CASCADE,YES,LEGIT
9.9509,V2,V3,CASCADE,YES,LEGIT
9.9512,V2,V4,CASCADE,YES,LEGIT
