# EDCF-Shield HMAC log  scenario=v2b
t,sender,receiver,pkt_type,hmac_valid,attack_detected
1.0000,C0,C1,C2C,YES,LEGIT
1.0000,C0,C2,C2C,YES,LEGIT
1.0000,C1,C0,C2C,YES,LEGIT
1.0000,C1,C2,C2C,YES,LEGIT
1.0000,C2,C0,C2C,YES,LEGIT
1.0000,C2,C1,C2C,YES,LEGIT
1.0001,V0,C0,BEACON,YES,LEGIT
1.0001,V1,C0,BEACON,YES,LEGIT
1.0001,V2,C1,BEACON,YES,LEGIT
1.0001,V3,C2,BEACON,YES,LEGIT
1.0001,V4,C2,BEACON,YES,LEGIT
1.0001,C0,V0,FLOWMOD,YES,LEGIT
1.0001,C0,V1,FLOWMOD,YES,LEGIT
1.0001,C1,V2,FLOWMOD,YES,LEGIT
1.0001,C2,V3,FLOWMOD,YES,LEGIT
1.0001,C2,V4,FLOWMOD,YES,LEGIT
1.5000,C1,C0,FAKE_ALERT,YES,CHECK
1.5000,C1,C2,FAKE_ALERT,YES,CHECK
1.5001,C1,V2,FAKE_ALERT,YES,CHECK
1.8501,C0,V0,FAKE_ALERT,YES,CHECK
1.8501,C0,V1,FAKE_ALERT,YES,CHECK
1.8501,C2,V3,FAKE_ALERT,YES,CHECK
1.8501,C2,V4,FAKE_ALERT,YES,CHECK
2.2520,V2,V0,CASCADE,YES,LEGIT
2.2523,V2,V3,CASCADE,YES,LEGIT
2.2529,V1,V3,CASCADE,YES,LEGIT
2.2539,V4,V1,CASCADE,YES,LEGIT
2.2550,V3,V4,CASCADE,YES,LEGIT
2.2579,V0,V1,CASCADE,YES,LEGIT
2.2594,V1,V2,CASCADE,YES,LEGIT
2.2602,V0,V3,CASCADE,YES,LEGIT
2.2611,V0,V4,CASCADE,YES,LEGIT
2.2614,V4,V3,CASCADE,YES,LEGIT
2.2621,V0,V2,CASCADE,YES,LEGIT
2.2631,V2,V1,CASCADE,YES,LEGIT
3.1001,V0,C0,RECOMPUTE,YES,LEGIT
3.1001,V1,C0,RECOMPUTE,YES,LEGIT
3.1001,V2,C1,RECOMPUTE,YES,LEGIT
3.1001,V3,C2,RECOMPUTE,YES,LEGIT
3.1001,V4,C2,RECOMPUTE,YES,LEGIT
3.2513,V4,V0,CASCADE,YES,LEGIT
3.2536,V3,V1,CASCADE,YES,LEGIT
3.2539,V3,V0,CASCADE,YES,LEGIT
3.7000,C1,C0,C2C,YES,LEGIT
3.7000,C1,C2,C2C,YES,LEGIT
3.7001,C1,V2,WRONG_FM,YES,CHECK
4.2511,V1,V0,CASCADE,YES,LEGIT
4.3001,C0,V0,WRONG_FM,YES,CHECK
4.3001,C0,V1,WRONG_FM,YES,CHECK
4.3001,C2,V3,WRONG_FM,YES,CHECK
4.3001,C2,V4,WRONG_FM,YES,CHECK
5.0000,C0,C1,C2C,YES,LEGIT
5.0000,C0,C2,C2C,YES,LEGIT
5.0000,C1,C0,C2C,YES,LEGIT
5.0000,C1,C2,C2C,YES,LEGIT
5.0000,C2,C0,C2C,YES,LEGIT
5.0000,C2,C1,C2C,YES,LEGIT
5.0001,V0,C0,BEACON,YES,LEGIT
5.0001,V1,C0,BEACON,YES,LEGIT
5.0001,V2,C1,BEACON,YES,LEGIT
5.0001,V3,C2,BEACON,YES,LEGIT
5.0001,V4,C2,BEACON,YES,LEGIT
5.0001,C0,V0,FLOWMOD,YES,LEGIT
5.0001,C0,V1,FLOWMOD,YES,LEGIT
5.0001,C1,V2,FLOWMOD,YES,LEGIT
5.0001,C2,V3,FLOWMOD,YES,LEGIT
5.0001,C2,V4,FLOWMOD,YES,LEGIT
5.5000,C1,C0,FAKE_ALERT,YES,CHECK
5.5000,C1,C2,FAKE_ALERT,YES,CHECK
5.5001,C1,V2,FAKE_ALERT,YES,CHECK
5.8501,C0,V0,FAKE_ALERT,YES,CHECK
5.8501,C0,V1,FAKE_ALERT,YES,CHECK
5.8501,C2,V3,FAKE_ALERT,YES,CHECK
5.8501,C2,V4,FAKE_ALERT,YES,CHECK
6.2505,V2,V0,CASCADE,YES,LEGIT
6.2508,V4,V0,CASCADE,YES,LEGIT
6.2514,V2,V1,CASCADE,YES,LEGIT
6.2517,V3,V0,CASCADE,YES,LEGIT
6.2521,V4,V1,CASCADE,YES,LEGIT
6.2524,V1,V0,CASCADE,YES,LEGIT
6.2527,V2,V3,CASCADE,YES,LEGIT
6.2532,V1,V2,CASCADE,YES,LEGIT
6.2536,V1,V3,CASCADE,YES,LEGIT
6.2539,V0,V1,CASCADE,YES,LEGIT
6.2543,V3,V1,CASCADE,YES,LEGIT
6.2546,V3,V4,CASCADE,YES,LEGIT
