variant,gamma,val_MCC
V1,0.05,0.5952
V1,0.06,0.599
V1,0.07,0.6027
V1,0.08,0.6062
V1,0.09,0.6108
V1,0.1,0.6152
V1,0.11,0.6183
V1,0.12,0.6211
V1,0.13,0.6239
V1,0.14,0.626
V1,0.15,0.6274
V1,0.16,0.6287
V1,0.17,0.6295
V1,0.18,0.6304
V1,0.19,0.6317
V1,0.2,0.6339
V1,0.21,0.6358
V1,0.22,0.6372
V1,0.23,0.6391
V1,0.24,0.6403
V1,0.25,0.6413
V1,0.26,0.6424
V1,0.27,0.6427
V1,0.28,0.6431
V1,0.29,0.6436
V1,0.3,0.644
V1,0.31,0.6444
V1,0.32,0.6449
V1,0.33,0.6449
V1,0.34,0.6453
V1,0.35,0.6455
V1,0.36,0.645
V1,0.37,0.6453
V1,0.38,0.6325
V1,0.39,0.5706
V1,0.4,0.5447
V1,0.41,0.5511
V1,0.42,0.5602
V1,0.43,0.5685
V1,0.44,0.5679
V1,0.45,0.5666
V1,0.46,0.5667
V1,0.47,0.5628
V1,0.48,0.5513
V1,0.49,0.5251
V1,0.5,0.4928
V1,0.51,0.4653
V1,0.52,0.445
V1,0.53,0.4413
V1,0.54,0.4445
V1,0.55,0.4432
V1,0.56,0.4425
V1,0.57,0.4412
V1,0.58,0.44
V1,0.59,0.4377
V1,0.6,0.4338
V1,0.61,0.4288
V1,0.62,0.4188
V1,0.63,0.4129
V1,0.64,0.4058
V1,0.65,0.3971
V1,0.66,0.3887
V1,0.67,0.3792
V1,0.68,0.3626
V1,0.69,0.3561
V1,0.7,0.3492
V1,0.71,0.3301
V1,0.72,0.3014
V1,0.73,0.2547
V1,0.74,0.1749
V1,0.75,0.0
V1,0.76,0.0
V1,0.77,0.0
V1,0.78,0.0
V1,0.79,0.0
V1,0.8,0.0
V1,0.81,0.0
V1,0.82,0.0
V1,0.83,0.0
V1,0.84,0.0
V1,0.85,0.0
V1,0.86,0.0
V1,0.87,0.0
V1,0.88,0.0
V1,0.89,0.0
V1,0.9,0.0
V1,0.91,0.0
V1,0.92,0.0
V1,0.93,0.0
V1,0.94,0.0
V1,0.95,0.0
V2,0.05,0.6825
V2,0.06,0.6829
V2,0.07,0.6827
V2,0.08,0.6824
V2,0.09,0.6824
V2,0.1,0.6826
V2,0.11,0.6826
V2,0.12,0.6828
V2,0.13,0.6823
V2,0.14,0.6819
V2,0.15,0.6818
V2,0.16,0.6816
V2,0.17,0.6811
V2,0.18,0.6801
V2,0.19,0.6789
V2,0.2,0.6785
V2,0.21,0.6785
V2,0.22,0.6781
V2,0.23,0.6775
V2,0.24,0.6769
V2,0.25,0.6763
V2,0.26,0.6755
V2,0.27,0.6739
V2,0.28,0.6728
V2,0.29,0.672
V2,0.3,0.6718
V2,0.31,0.6714
V2,0.32,0.67
V2,0.33,0.6693
V2,0.34,0.668
V2,0.35,0.6676
V2,0.36,0.6663
V2,0.37,0.6659
V2,0.38,0.6646
V2,0.39,0.6645
V2,0.4,0.6638
V2,0.41,0.6624
V2,0.42,0.6619
V2,0.43,0.6591
V2,0.44,0.6583
V2,0.45,0.6568
V2,0.46,0.6562
V2,0.47,0.6561
V2,0.48,0.6549
V2,0.49,0.6532
V2,0.5,0.6523
V2,0.51,0.649
V2,0.52,0.6475
V2,0.53,0.6437
V2,0.54,0.6438
V2,0.55,0.6408
V2,0.56,0.6366
V2,0.57,0.6285
V2,0.58,0.6221
V2,0.59,0.6011
V2,0.6,0.5763
V2,0.61,0.5403
V2,0.62,0.5006
V2,0.63,0.4614
V2,0.64,0.4314
V2,0.65,0.3944
V2,0.66,0.3561
V2,0.67,0.3176
V2,0.68,0.2916
V2,0.69,0.2731
V2,0.7,0.2566
V2,0.71,0.238
V2,0.72,0.1954
V2,0.73,0.0795
V2,0.74,0.0
V2,0.75,0.0
V2,0.76,0.0
V2,0.77,0.0
V2,0.78,0.0
V2,0.79,0.0
V2,0.8,0.0
V2,0.81,0.0
V2,0.82,0.0
V2,0.83,0.0
V2,0.84,0.0
V2,0.85,0.0
V2,0.86,0.0
V2,0.87,0.0
V2,0.88,0.0
V2,0.89,0.0
V2,0.9,0.0
V2,0.91,0.0
V2,0.92,0.0
V2,0.93,0.0
V2,0.94,0.0
V2,0.95,0.0
V3,0.05,0.6825
V3,0.06,0.6839
V3,0.07,0.6852
V3,0.08,0.6858
V3,0.09,0.6865
V3,0.1,0.6871
V3,0.11,0.6878
V3,0.12,0.6881
V3,0.13,0.6884
V3,0.14,0.6888
V3,0.15,0.6891
V3,0.16,0.6897
V3,0.17,0.69
V3,0.18,0.6902
V3,0.19,0.6902
V3,0.2,0.6906
V3,0.21,0.6911
V3,0.22,0.6913
V3,0.23,0.6912
V3,0.24,0.6914
V3,0.25,0.6916
V3,0.26,0.6911
V3,0.27,0.6913
V3,0.28,0.6918
V3,0.29,0.6918
V3,0.3,0.6919
V3,0.31,0.6919
V3,0.32,0.6913
V3,0.33,0.6913
V3,0.34,0.6913
V3,0.35,0.6908
V3,0.36,0.691
V3,0.37,0.6905
V3,0.38,0.6903
V3,0.39,0.6907
V3,0.4,0.6901
V3,0.41,0.6906
V3,0.42,0.6903
V3,0.43,0.69
V3,0.44,0.69
V3,0.45,0.6906
V3,0.46,0.6911
V3,0.47,0.6897
V3,0.48,0.69
V3,0.49,0.6895
V3,0.5,0.6894
V3,0.51,0.6899
V3,0.52,0.6901
V3,0.53,0.6903
V3,0.54,0.691
V3,0.55,0.6907
V3,0.56,0.6887
V3,0.57,0.6842
V3,0.58,0.6666
V3,0.59,0.6343
V3,0.6,0.578
V3,0.61,0.4681
V3,0.62,0.351
V3,0.63,0.2397
V3,0.64,0.1728
V3,0.65,0.1197
V3,0.66,0.0662
V3,0.67,0.0115
V3,0.68,-0.0024
V3,0.69,0.0
V3,0.7,0.0
V3,0.71,0.0
V3,0.72,0.0
V3,0.73,0.0
V3,0.74,0.0
V3,0.75,0.0
V3,0.76,0.0
V3,0.77,0.0
V3,0.78,0.0
V3,0.79,0.0
V3,0.8,0.0
V3,0.81,0.0
V3,0.82,0.0
V3,0.83,0.0
V3,0.84,0.0
V3,0.85,0.0
V3,0.86,0.0
V3,0.87,0.0
V3,0.88,0.0
V3,0.89,0.0
V3,0.9,0.0
V3,0.91,0.0
V3,0.92,0.0
V3,0.93,0.0
V3,0.94,0.0
V3,0.95,0.0
