scenario,atk_count,cycle,time_s,node_id,v_idx,is_attacker,label,phi_v1_i,phi_v2_i,phi_v3_i,s_BC,bcn_rate_i,tau_dir,zeta,zscore_v1_i,fanout_i,bcn_count_i,alert_in_i,alert_out_i,fm_count_i,xi_tm_i,detected,hmac_valid,pos_x,pos_y,last_vx,last_vy,ctrl_id,rsu_id
v1a,30,0,1.998,5,0,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,865.85,1533.04,21.0,21.0,0,51
v1a,30,0,1.998,6,1,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,1096.43,1548.266,21.0,-19.0,1,52
v1a,30,0,1.998,7,2,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,1120.264,1689.349,-12.0,20.0,2,52
v1a,30,0,1.998,8,3,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,1451.85,2185.085,21.0,17.0,3,61
v1a,30,0,1.998,9,4,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,1085.376,1730.61,18.0,-16.0,0,52
v1a,30,0,1.998,10,5,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,2116.43,2018.954,12.0,16.0,1,63
v1a,30,0,1.998,11,6,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,1116.146,1730.306,18.0,-19.0,2,52
v1a,30,0,1.998,12,7,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,1119.149,1722.892,-17.0,14.0,3,52
v1a,30,0,1.998,13,8,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,1518.419,1981.921,11.0,-15.0,0,62
v1a,30,0,1.998,14,9,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,1542.896,2009.915,18.0,-20.0,1,62
v1a,30,0,1.998,15,10,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,2087.345,1496.14,17.0,12.0,2,47
v1a,30,0,1.998,16,11,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,1612.273,2015.924,-13.0,-12.0,3,62
v1a,30,0,1.998,17,12,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,1664.986,2189.238,-13.0,19.0,0,62
v1a,30,0,1.998,18,13,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,2077.436,1980.95,18.0,12.0,1,63
v1a,30,0,1.998,19,14,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,2195.549,2295.5,20.0,12.0,2,63
v1a,30,0,1.998,20,15,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,888.903,1410.376,15.0,18.0,3,43
v1a,30,0,1.998,21,16,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,2221.412,2268.595,-14.0,-20.0,0,63
v1a,30,0,1.998,22,17,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,1532.956,2015.92,18.0,-16.0,1,62
v1a,30,0,1.998,23,18,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,2225.959,2266.1,-17.0,-16.0,2,63
