# Anyanwu [16] RBF-SVM evaluated on V1 attacks
# Volume-based: detects V1 partially, blind to V2/V3
method,scenario,key_type,atk_count,atk_pct,cycle,row_type,time_s,TP,TN,FP,FN,Accuracy,MCC,F1,Precision,Recall,DetRate_pct,PDR_pct,ch_load_pct
Anyanwu_16,v1a,EXTERNAL,20,24.10,1,CYCLE,10.0,745,1400,55,1420,0.592541,0.361953,0.502530,0.931250,0.344111,49.65,37.68,77.90
Anyanwu_16,v1a,EXTERNAL,20,24.10,1,CUMULATIVE,10.0,745,1400,55,1420,0.592541,0.361953,0.502530,0.931250,0.344111,49.65,37.68,77.90
Anyanwu_16,v1a,EXTERNAL,20,24.10,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1a,EXTERNAL,20,24.10,2,CUMULATIVE,10.0,745,1400,55,1420,0.592541,0.361953,0.502530,0.931250,0.344111,49.65,37.68,77.90
Anyanwu_16,v1a,EXTERNAL,40,48.19,1,CYCLE,10.0,700,515,100,4325,0.215426,-0.020814,0.240343,0.875000,0.139303,10.64,31.35,85.82
Anyanwu_16,v1a,EXTERNAL,40,48.19,1,CUMULATIVE,10.0,700,515,100,4325,0.215426,-0.020814,0.240343,0.875000,0.139303,10.64,31.35,85.82
Anyanwu_16,v1a,EXTERNAL,40,48.19,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1a,EXTERNAL,40,48.19,2,CUMULATIVE,10.0,700,515,100,4325,0.215426,-0.020814,0.240343,0.875000,0.139303,10.64,31.35,85.82
Anyanwu_16,v1a,EXTERNAL,40,48.19,3,CYCLE,20.0,695,875,105,7125,0.178409,-0.019990,0.161253,0.868750,0.088875,10.94,27.27,90.91
Anyanwu_16,v1a,EXTERNAL,40,48.19,3,CUMULATIVE,20.0,1395,1390,205,11450,0.192867,-0.019897,0.193146,0.871875,0.108603,10.83,28.86,88.92
Anyanwu_16,v1a,EXTERNAL,40,48.19,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1a,EXTERNAL,40,48.19,4,CUMULATIVE,20.0,1395,1390,205,11450,0.192867,-0.019897,0.193146,0.871875,0.108603,10.83,28.86,88.92
Anyanwu_16,v1a,EXTERNAL,60,72.29,1,CYCLE,10.0,653,281,147,5779,0.136152,-0.182310,0.180586,0.816250,0.101524,4.64,29.33,88.34
Anyanwu_16,v1a,EXTERNAL,60,72.29,1,CUMULATIVE,10.0,653,281,147,5779,0.136152,-0.182310,0.180586,0.816250,0.101524,4.64,29.33,88.34
Anyanwu_16,v1a,EXTERNAL,60,72.29,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1a,EXTERNAL,60,72.29,2,CUMULATIVE,10.0,653,281,147,5779,0.136152,-0.182310,0.180586,0.816250,0.101524,4.64,29.33,88.34
Anyanwu_16,v1a,EXTERNAL,60,72.29,3,CYCLE,20.0,646,610,154,11390,0.098125,-0.144749,0.100654,0.807500,0.053672,5.08,25.00,93.75
Anyanwu_16,v1a,EXTERNAL,60,72.29,3,CUMULATIVE,20.0,1299,891,301,17169,0.111394,-0.159011,0.129460,0.811875,0.070338,4.93,26.51,91.86
Anyanwu_16,v1a,EXTERNAL,60,72.29,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1a,EXTERNAL,60,72.29,4,CUMULATIVE,20.0,1299,891,301,17169,0.111394,-0.159011,0.129460,0.811875,0.070338,4.93,26.51,91.86
Anyanwu_16,v1a,EXTERNAL,60,72.29,5,CYCLE,30.0,652,592,148,11408,0.097187,-0.140708,0.101400,0.815000,0.054063,4.93,25.00,93.75
Anyanwu_16,v1a,EXTERNAL,60,72.29,5,CUMULATIVE,30.0,1951,1483,449,28577,0.105792,-0.152347,0.118501,0.812917,0.063909,4.93,25.91,92.61
Anyanwu_16,v1a,EXTERNAL,60,72.29,6,CYCLE,30.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1a,EXTERNAL,60,72.29,6,CUMULATIVE,30.0,1951,1483,449,28577,0.105792,-0.152347,0.118501,0.812917,0.063909,4.93,25.91,92.61
Anyanwu_16,v1a,EXTERNAL,80,96.39,1,CYCLE,10.0,0,319,0,6161,0.049228,-0.000002,0.000000,0.000000,0.000000,4.92,20.00,100.00
Anyanwu_16,v1a,EXTERNAL,80,96.39,1,CUMULATIVE,10.0,0,319,0,6161,0.049228,-0.000002,0.000000,0.000000,0.000000,4.92,20.00,100.00
Anyanwu_16,v1a,EXTERNAL,80,96.39,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1a,EXTERNAL,80,96.39,2,CUMULATIVE,10.0,0,319,0,6161,0.049228,-0.000002,0.000000,0.000000,0.000000,4.92,20.00,100.00
Anyanwu_16,v1a,EXTERNAL,80,96.39,3,CYCLE,20.0,0,800,0,15200,0.050000,-0.000001,0.000000,0.000000,0.000000,5.00,20.00,100.00
Anyanwu_16,v1a,EXTERNAL,80,96.39,3,CUMULATIVE,20.0,0,1119,0,21361,0.049778,-0.000001,0.000000,0.000000,0.000000,4.98,20.00,100.00
Anyanwu_16,v1a,EXTERNAL,80,96.39,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1a,EXTERNAL,80,96.39,4,CUMULATIVE,20.0,0,1119,0,21361,0.049778,-0.000001,0.000000,0.000000,0.000000,4.98,20.00,100.00
