# Gyawali [19] HE-MDS evaluated on V2 attacks
# Reputation-based: detects V2 partially, blind to controller
method,scenario,key_type,atk_count,atk_pct,cycle,row_type,time_s,TP,TN,FP,FN,Accuracy,MCC,F1,Precision,Recall,DetRate_pct,PDR_pct,ch_load_pct
Gyawali_19,v2a,EXTERNAL,20,24.10,1,CYCLE,10.0,762,1703,38,37,0.970472,0.931551,0.953096,0.952500,0.953692,97.87,66.38,42.03
Gyawali_19,v2a,EXTERNAL,20,24.10,1,CUMULATIVE,10.0,762,1703,38,37,0.970472,0.931551,0.953096,0.952500,0.953692,97.87,66.38,42.03
Gyawali_19,v2a,EXTERNAL,20,24.10,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Gyawali_19,v2a,EXTERNAL,20,24.10,2,CUMULATIVE,10.0,762,1703,38,37,0.970472,0.931551,0.953096,0.952500,0.953692,97.87,66.38,42.03
Gyawali_19,v2a,EXTERNAL,20,24.10,3,CYCLE,20.0,762,2400,38,0,0.988125,0.968325,0.975672,0.952500,1.000000,100.00,60.00,50.00
Gyawali_19,v2a,EXTERNAL,20,24.10,3,CUMULATIVE,20.0,1524,4103,76,37,0.980314,0.950809,0.964252,0.952500,0.976297,99.11,62.95,46.31
Gyawali_19,v2a,EXTERNAL,20,24.10,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Gyawali_19,v2a,EXTERNAL,20,24.10,4,CUMULATIVE,20.0,1524,4103,76,37,0.980314,0.950809,0.964252,0.952500,0.976297,99.11,62.95,46.31
Gyawali_19,v2a,EXTERNAL,20,24.10,5,CYCLE,30.0,756,2400,44,0,0.986250,0.963321,0.971722,0.945000,1.000000,100.00,60.00,50.00
Gyawali_19,v2a,EXTERNAL,20,24.10,5,CUMULATIVE,30.0,2280,6503,120,37,0.982438,0.955067,0.966716,0.950000,0.984031,99.43,61.92,47.60
Gyawali_19,v2a,EXTERNAL,20,24.10,6,CYCLE,30.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Gyawali_19,v2a,EXTERNAL,20,24.10,6,CUMULATIVE,30.0,2280,6503,120,37,0.982438,0.955067,0.966716,0.950000,0.984031,99.43,61.92,47.60
Gyawali_19,v2a,EXTERNAL,20,24.10,7,CYCLE,40.0,755,2400,45,0,0.985938,0.962487,0.971061,0.943750,1.000000,100.00,60.00,50.00
Gyawali_19,v2a,EXTERNAL,20,24.10,7,CUMULATIVE,40.0,3035,8903,165,37,0.983361,0.956945,0.967793,0.948438,0.987956,99.59,61.42,48.22
