# Wang [22] DRL topology evaluated on V3 attacks
# Kinematic check: misses Eq3.7 compliant traces
method,scenario,key_type,atk_count,atk_pct,cycle,row_type,time_s,TP,TN,FP,FN,Accuracy,MCC,F1,Precision,Recall,DetRate_pct,PDR_pct,ch_load_pct
Wang_22,v3a,EXTERNAL,20,24.10,1,CYCLE,10.0,750,981,50,927,0.639217,0.424367,0.605571,0.937500,0.447227,51.42,100.00,0.00
Wang_22,v3a,EXTERNAL,20,24.10,1,CUMULATIVE,10.0,750,981,50,927,0.639217,0.424367,0.605571,0.937500,0.447227,51.42,100.00,0.00
Wang_22,v3a,EXTERNAL,20,24.10,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Wang_22,v3a,EXTERNAL,20,24.10,2,CUMULATIVE,10.0,750,981,50,927,0.639217,0.424367,0.605571,0.937500,0.447227,51.42,100.00,0.00
Wang_22,v3a,EXTERNAL,20,24.10,3,CYCLE,20.0,754,1396,46,1268,0.620670,0.398853,0.534373,0.942500,0.372898,52.40,100.00,0.00
Wang_22,v3a,EXTERNAL,20,24.10,3,CUMULATIVE,20.0,1504,2377,96,2195,0.628808,0.411269,0.567654,0.940000,0.406596,51.99,100.00,0.00
Wang_22,v3a,EXTERNAL,20,24.10,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Wang_22,v3a,EXTERNAL,20,24.10,4,CUMULATIVE,20.0,1504,2377,96,2195,0.628808,0.411269,0.567654,0.940000,0.406596,51.99,100.00,0.00
Wang_22,v3a,EXTERNAL,20,24.10,5,CYCLE,30.0,757,1364,43,1304,0.611592,0.392498,0.529186,0.946250,0.367297,51.12,100.00,0.00
Wang_22,v3a,EXTERNAL,20,24.10,5,CUMULATIVE,30.0,2261,3741,139,3499,0.622614,0.404546,0.554167,0.942083,0.392535,51.67,100.00,0.00
Wang_22,v3a,EXTERNAL,20,24.10,6,CYCLE,30.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Wang_22,v3a,EXTERNAL,20,24.10,6,CUMULATIVE,30.0,2261,3741,139,3499,0.622614,0.404546,0.554167,0.942083,0.392535,51.67,100.00,0.00
Wang_22,v3a,EXTERNAL,40,48.19,1,CYCLE,10.0,728,840,72,2440,0.384314,0.158291,0.366935,0.910000,0.229798,25.61,100.00,0.00
Wang_22,v3a,EXTERNAL,40,48.19,1,CUMULATIVE,10.0,728,840,72,2440,0.384314,0.158291,0.366935,0.910000,0.229798,25.61,100.00,0.00
Wang_22,v3a,EXTERNAL,40,48.19,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Wang_22,v3a,EXTERNAL,40,48.19,2,CUMULATIVE,10.0,728,840,72,2440,0.384314,0.158291,0.366935,0.910000,0.229798,25.61,100.00,0.00
Wang_22,v3a,EXTERNAL,40,48.19,3,CYCLE,20.0,725,1242,75,4090,0.320776,0.114153,0.258237,0.906250,0.150571,23.29,100.00,0.00
Wang_22,v3a,EXTERNAL,40,48.19,3,CUMULATIVE,20.0,1453,2082,147,6530,0.346161,0.131892,0.303245,0.908125,0.182012,24.18,100.00,0.00
Wang_22,v3a,EXTERNAL,40,48.19,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Wang_22,v3a,EXTERNAL,40,48.19,4,CUMULATIVE,20.0,1453,2082,147,6530,0.346161,0.131892,0.303245,0.908125,0.182012,24.18,100.00,0.00
Wang_22,v3a,EXTERNAL,60,72.29,1,CYCLE,10.0,703,833,97,3287,0.312195,0.076278,0.293528,0.878750,0.176190,20.22,100.00,0.00
Wang_22,v3a,EXTERNAL,60,72.29,1,CUMULATIVE,10.0,703,833,97,3287,0.312195,0.076278,0.293528,0.878750,0.176190,20.22,100.00,0.00
Wang_22,v3a,EXTERNAL,60,72.29,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Wang_22,v3a,EXTERNAL,60,72.29,2,CUMULATIVE,10.0,703,833,97,3287,0.312195,0.076278,0.293528,0.878750,0.176190,20.22,100.00,0.00
Wang_22,v3a,EXTERNAL,60,72.29,3,CYCLE,20.0,698,1288,102,6712,0.225682,0.026407,0.170037,0.872500,0.094197,16.10,100.00,0.00
Wang_22,v3a,EXTERNAL,60,72.29,3,CUMULATIVE,20.0,1401,2121,199,9999,0.256706,0.043349,0.215538,0.875625,0.122895,17.50,100.00,0.00
Wang_22,v3a,EXTERNAL,60,72.29,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Wang_22,v3a,EXTERNAL,60,72.29,4,CUMULATIVE,20.0,1401,2121,199,9999,0.256706,0.043349,0.215538,0.875625,0.122895,17.50,100.00,0.00
Wang_22,v3a,EXTERNAL,60,72.29,5,CYCLE,30.0,686,1288,114,6712,0.224318,0.014532,0.167358,0.857500,0.092728,16.10,100.00,0.00
Wang_22,v3a,EXTERNAL,60,72.29,5,CUMULATIVE,30.0,2087,3409,313,16711,0.244050,0.032414,0.196905,0.869583,0.111022,16.94,100.00,0.00
Wang_22,v3a,EXTERNAL,60,72.29,6,CYCLE,30.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Wang_22,v3a,EXTERNAL,60,72.29,6,CUMULATIVE,30.0,2087,3409,313,16711,0.244050,0.032414,0.196905,0.869583,0.111022,16.94,100.00,0.00
Wang_22,v3a,EXTERNAL,80,96.39,1,CYCLE,10.0,0,793,0,3635,0.179088,-0.000001,0.000000,0.000000,0.000000,17.91,100.00,0.00
Wang_22,v3a,EXTERNAL,80,96.39,1,CUMULATIVE,10.0,0,793,0,3635,0.179088,-0.000001,0.000000,0.000000,0.000000,17.91,100.00,0.00
Wang_22,v3a,EXTERNAL,80,96.39,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Wang_22,v3a,EXTERNAL,80,96.39,2,CUMULATIVE,10.0,0,793,0,3635,0.179088,-0.000001,0.000000,0.000000,0.000000,17.91,100.00,0.00
Wang_22,v3a,EXTERNAL,80,96.39,3,CYCLE,20.0,0,1414,0,9250,0.132596,-0.000001,0.000000,0.000000,0.000000,13.26,100.00,0.00
Wang_22,v3a,EXTERNAL,80,96.39,3,CUMULATIVE,20.0,0,2207,0,12885,0.146236,-0.000001,0.000000,0.000000,0.000000,14.62,100.00,0.00
Wang_22,v3a,EXTERNAL,80,96.39,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Wang_22,v3a,EXTERNAL,80,96.39,4,CUMULATIVE,20.0,0,2207,0,12885,0.146236,-0.000001,0.000000,0.000000,0.000000,14.62,100.00,0.00
Wang_22,v3a,EXTERNAL,0,0.00,1,CYCLE,10.0,781,0,19,0,0.976250,0.000007,0.987982,0.976250,1.000000,0.00,100.00,0.00
Wang_22,v3a,EXTERNAL,0,0.00,1,CUMULATIVE,10.0,781,0,19,0,0.976250,0.000007,0.987982,0.976250,1.000000,0.00,100.00,0.00
Wang_22,v3a,EXTERNAL,0,0.00,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Wang_22,v3a,EXTERNAL,0,0.00,2,CUMULATIVE,10.0,781,0,19,0,0.976250,0.000007,0.987982,0.976250,1.000000,0.00,100.00,0.00
Wang_22,v3a,EXTERNAL,0,0.00,3,CYCLE,20.0,787,0,13,0,0.983750,0.000009,0.991808,0.983750,1.000000,0.00,100.00,0.00
Wang_22,v3a,EXTERNAL,0,0.00,3,CUMULATIVE,20.0,1568,0,32,0,0.980000,0.000005,0.989899,0.980000,1.000000,0.00,100.00,0.00
Wang_22,v3a,EXTERNAL,0,0.00,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Wang_22,v3a,EXTERNAL,0,0.00,4,CUMULATIVE,20.0,1568,0,32,0,0.980000,0.000005,0.989899,0.980000,1.000000,0.00,100.00,0.00
Wang_22,v3b,STOLEN_KEY,20,24.10,1,CYCLE,10.0,847,983,49,925,0.652639,0.445258,0.634933,0.945312,0.477991,51.52,100.00,0.00
Wang_22,v3b,STOLEN_KEY,20,24.10,1,CUMULATIVE,10.0,847,983,49,925,0.652639,0.445258,0.634933,0.945312,0.477991,51.52,100.00,0.00
Wang_22,v3b,STOLEN_KEY,20,24.10,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Wang_22,v3b,STOLEN_KEY,20,24.10,2,CUMULATIVE,10.0,847,983,49,925,0.652639,0.445258,0.634933,0.945312,0.477991,51.52,100.00,0.00
Wang_22,v3b,STOLEN_KEY,20,24.10,3,CYCLE,20.0,884,1378,48,1286,0.629032,0.417208,0.569955,0.948498,0.407373,51.73,100.00,0.00
Wang_22,v3b,STOLEN_KEY,20,24.10,3,CUMULATIVE,20.0,1731,2361,97,2211,0.639375,0.430321,0.600000,0.946937,0.439117,51.64,100.00,0.00
Wang_22,v3b,STOLEN_KEY,20,24.10,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Wang_22,v3b,STOLEN_KEY,20,24.10,4,CUMULATIVE,20.0,1731,2361,97,2211,0.639375,0.430321,0.600000,0.946937,0.439117,51.64,100.00,0.00
Wang_22,v3b,STOLEN_KEY,40,48.19,1,CYCLE,10.0,805,790,91,2490,0.381944,0.140152,0.384157,0.898438,0.244310,24.09,100.00,0.00
Wang_22,v3b,STOLEN_KEY,40,48.19,1,CUMULATIVE,10.0,805,790,91,2490,0.381944,0.140152,0.384157,0.898438,0.244310,24.09,100.00,0.00
Wang_22,v3b,STOLEN_KEY,40,48.19,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Wang_22,v3b,STOLEN_KEY,40,48.19,2,CUMULATIVE,10.0,805,790,91,2490,0.381944,0.140152,0.384157,0.898438,0.244310,24.09,100.00,0.00
Wang_22,v3b,STOLEN_KEY,40,48.19,3,CYCLE,20.0,835,1270,97,4062,0.336047,0.115546,0.286499,0.895923,0.170513,23.82,100.00,0.00
Wang_22,v3b,STOLEN_KEY,40,48.19,3,CUMULATIVE,20.0,1640,2060,188,6552,0.354406,0.126073,0.327345,0.897155,0.200195,23.92,100.00,0.00
Wang_22,v3b,STOLEN_KEY,40,48.19,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Wang_22,v3b,STOLEN_KEY,40,48.19,4,CUMULATIVE,20.0,1640,2060,188,6552,0.354406,0.126073,0.327345,0.897155,0.200195,23.92,100.00,0.00
Wang_22,v3b,STOLEN_KEY,40,48.19,5,CYCLE,30.0,846,1264,86,4072,0.336631,0.125154,0.289231,0.907725,0.172021,23.69,100.00,0.00
Wang_22,v3b,STOLEN_KEY,40,48.19,5,CUMULATIVE,30.0,2486,3324,274,10624,0.347738,0.125607,0.313296,0.900725,0.189626,23.83,100.00,0.00
Wang_22,v3b,STOLEN_KEY,40,48.19,6,CYCLE,30.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
