# EDCF-Shield (our method) results
# MCC DECREASES with attack% (Eq 3.4 mobility camouflage)
method,scenario,key_type,atk_count,atk_pct,cycle,row_type,time_s,TP,TN,FP,FN,Accuracy,MCC,F1,Precision,Recall,DetRate_pct,PDR_pct,ch_load_pct
EDCF-Shield,v2a,EXTERNAL,20,24.10,1,CYCLE,10.0,800,1740,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,100.00,66.38,42.03
EDCF-Shield,v2a,EXTERNAL,20,24.10,1,CUMULATIVE,10.0,800,1740,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,100.00,66.38,42.03
EDCF-Shield,v2a,EXTERNAL,20,24.10,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v2a,EXTERNAL,20,24.10,2,CUMULATIVE,10.0,800,1740,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,100.00,66.38,42.03
EDCF-Shield,v2a,EXTERNAL,20,24.10,3,CYCLE,20.0,800,2400,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,100.00,60.00,50.00
EDCF-Shield,v2a,EXTERNAL,20,24.10,3,CUMULATIVE,20.0,1600,4140,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,100.00,62.95,46.31
EDCF-Shield,v2a,EXTERNAL,20,24.10,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v2a,EXTERNAL,20,24.10,4,CUMULATIVE,20.0,1600,4140,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,100.00,62.95,46.31
EDCF-Shield,v2a,EXTERNAL,20,24.10,5,CYCLE,30.0,800,2400,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,100.00,60.00,50.00
EDCF-Shield,v2a,EXTERNAL,20,24.10,5,CUMULATIVE,30.0,2400,6540,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,100.00,61.92,47.60
EDCF-Shield,v2a,EXTERNAL,20,24.10,6,CYCLE,30.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v2a,EXTERNAL,20,24.10,6,CUMULATIVE,30.0,2400,6540,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,100.00,61.92,47.60
EDCF-Shield,v2a,EXTERNAL,20,24.10,7,CYCLE,40.0,800,2400,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,100.00,60.00,50.00
EDCF-Shield,v2a,EXTERNAL,20,24.10,7,CUMULATIVE,40.0,3200,8940,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,100.00,61.42,48.22
EDCF-Shield,v2a,EXTERNAL,20,24.10,8,CYCLE,40.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v2a,EXTERNAL,20,24.10,8,CUMULATIVE,40.0,3200,8940,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,100.00,61.42,48.22
EDCF-Shield,v2a,EXTERNAL,40,48.19,1,CYCLE,10.0,800,3000,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,100.00,55.56,55.56
EDCF-Shield,v2a,EXTERNAL,40,48.19,1,CUMULATIVE,10.0,800,3000,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,100.00,55.56,55.56
EDCF-Shield,v2a,EXTERNAL,40,48.19,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v2a,EXTERNAL,40,48.19,2,CUMULATIVE,10.0,800,3000,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,100.00,55.56,55.56
EDCF-Shield,v2a,EXTERNAL,60,72.29,1,CYCLE,10.0,800,3780,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,100.00,51.07,61.17
