scenario,atk_count,node_id,is_atk,hmac_ok,sig_flag,edcf_result
v3b,80,2,1,1,0,FN
v3b,80,2,1,1,0,FN
v3b,80,2,1,1,0,FN
v3b,80,2,1,1,0,FN
v3b,80,3,1,1,0,FN
v3b,80,3,1,1,1,FN
v3b,80,3,1,1,1,FN
v3b,80,3,1,1,1,FN
v3b,80,4,1,1,1,FN
v3b,80,4,1,1,1,FN
v3b,80,4,1,1,1,FN
v3b,80,4,1,1,1,FN
v3b,80,5,1,1,1,FN
v3b,80,5,1,1,1,FN
v3b,80,5,1,1,1,FN
v3b,80,5,1,1,1,FN
v3b,80,2,1,1,1,FN
v3b,80,2,1,1,1,FN
v3b,80,2,1,1,1,FN
v3b,80,2,1,1,1,FN
v3b,80,6,1,1,1,FN
v3b,80,6,1,1,1,FN
v3b,80,6,1,1,1,FN
v3b,80,6,1,1,1,FN
v3b,80,3,1,1,1,FN
v3b,80,3,1,1,1,FN
v3b,80,3,1,1,1,FN
v3b,80,3,1,1,1,FN
v3b,80,7,1,1,1,FN
v3b,80,7,1,1,1,FN
v3b,80,7,1,1,1,FN
v3b,80,7,1,1,1,FN
v3b,80,4,1,1,1,FN
v3b,80,4,1,1,1,FN
v3b,80,4,1,1,1,FN
v3b,80,4,1,1,1,FN
v3b,80,8,1,1,1,FN
v3b,80,8,1,1,1,FN
v3b,80,8,1,1,1,FN
v3b,80,8,1,1,1,FN
v3b,80,5,1,1,1,FN
v3b,80,5,1,1,1,FN
v3b,80,5,1,1,1,FN
v3b,80,5,1,1,1,FN
v3b,80,2,1,1,1,FN
v3b,80,2,1,1,1,FN
v3b,80,2,1,1,1,FN
v3b,80,2,1,1,1,FN
v3b,80,9,1,1,1,FN
v3b,80,9,1,1,1,FN
v3b,80,9,1,1,1,FN
v3b,80,9,1,1,1,FN
v3b,80,6,1,1,1,FN
v3b,80,6,1,1,1,FN
v3b,80,6,1,1,1,FN
v3b,80,6,1,1,1,FN
v3b,80,3,1,1,1,FN
v3b,80,3,1,1,1,FN
v3b,80,3,1,1,1,FN
v3b,80,3,1,1,1,FN
v3b,80,10,1,1,1,FN
v3b,80,10,1,1,1,FN
v3b,80,10,1,1,1,FN
v3b,80,10,1,1,1,FN
v3b,80,7,1,1,1,FN
v3b,80,7,1,1,1,FN
v3b,80,7,1,1,1,FN
v3b,80,7,1,1,1,FN
v3b,80,4,1,1,1,FN
v3b,80,4,1,1,1,FN
v3b,80,4,1,1,1,FN
v3b,80,4,1,1,1,FN
v3b,80,11,1,1,1,FN
v3b,80,11,1,1,1,FN
v3b,80,11,1,1,1,FN
v3b,80,11,1,1,1,FN
v3b,80,8,1,1,1,FN
v3b,80,8,1,1,1,FN
v3b,80,8,1,1,1,FN
v3b,80,8,1,1,1,FN
v3b,80,5,1,1,1,FN
v3b,80,5,1,1,1,FN
v3b,80,5,1,1,1,FN
v3b,80,5,1,1,1,FN
v3b,80,2,1,1,1,FN
v3b,80,2,1,1,1,FN
v3b,80,2,1,1,1,FN
v3b,80,2,1,1,1,FN
v3b,80,12,1,1,1,FN
v3b,80,12,1,1,1,FN
v3b,80,82,0,1,1,TP
v3b,80,82,0,1,1,TP
v3b,80,12,1,1,1,FN
