sim_time_s,cpu_percent,mem_mb
2.00,517.50,141.33
3.00,524.34,141.52
4.00,522.50,141.52
5.00,525.80,141.52
6.00,522.33,141.52
7.00,518.43,141.52
8.00,522.75,141.52
9.00,521.22,141.52
10.00,518.80,141.52
11.00,516.82,141.52
12.00,516.33,141.52
13.00,514.77,141.52
14.00,513.07,141.52
15.00,513.33,141.52
2.00,534.51,141.29
3.00,525.34,141.47
4.00,517.75,141.47
5.00,522.00,141.48
6.00,518.33,141.48
7.00,515.14,141.48
8.00,513.00,141.48
9.00,513.00,141.48
10.00,511.40,141.48
11.00,510.27,141.48
12.00,510.16,141.48
13.00,510.38,141.48
14.00,512.86,141.48
15.00,513.60,141.48
16.00,513.00,141.48
17.00,511.70,141.48
18.00,510.94,141.48
19.00,512.21,141.48
20.00,511.40,141.48
21.00,510.48,141.48
22.00,510.59,141.48
23.00,509.78,141.48
24.00,508.87,141.48
2.00,540.52,141.29
3.00,528.34,141.47
4.00,524.25,141.47
5.00,518.80,141.48
6.00,528.00,141.48
7.00,523.29,141.49
8.00,520.12,141.49
9.00,518.78,141.49
10.00,516.90,141.49
11.00,515.09,141.49
12.00,514.42,141.49
13.00,512.61,141.49
14.00,511.78,141.49
15.00,512.47,141.49
16.00,511.81,141.49
17.00,512.12,141.49
18.00,510.72,141.49
19.00,510.68,141.49
20.00,512.80,141.49
21.00,511.81,141.49
22.00,511.23,141.49
23.00,510.26,141.49
24.00,509.50,141.49
25.00,509.16,141.49
26.00,508.69,141.49
27.00,507.81,141.49
28.00,508.68,141.49
29.00,510.28,141.49
30.00,509.63,141.49
31.00,509.64,141.49
32.00,509.50,141.49
2.00,514.99,141.23
3.00,507.32,141.41
4.00,506.74,141.41
5.00,512.80,141.43
6.00,509.83,141.43
7.00,511.00,141.43
8.00,513.00,141.43
9.00,511.00,141.43
10.00,515.10,141.43
11.00,515.45,141.43
12.00,513.83,141.43
13.00,511.92,141.43
14.00,510.50,141.43
15.00,509.73,141.43
16.00,508.31,141.43
17.00,507.29,141.43
18.00,509.78,141.43
19.00,509.47,141.43
20.00,508.95,141.43
2.00,530.51,141.29
3.00,522.67,141.46
4.00,519.25,141.46
5.00,515.40,141.46
6.00,515.50,141.46
7.00,516.00,141.46
8.00,513.12,141.46
9.00,510.89,141.46
10.00,510.50,141.46
11.00,509.00,141.46
12.00,507.91,141.46
13.00,507.69,141.46
14.00,507.14,141.46
15.00,507.60,141.46
16.00,507.44,141.46
17.00,507.23,141.46
18.00,506.17,141.46
19.00,505.37,141.46
20.00,506.50,141.46
21.00,505.86,141.46
22.00,505.27,141.46
2.00,517.00,141.39
3.00,509.99,141.56
4.00,507.74,141.56
5.00,518.40,141.57
6.00,514.83,141.57
7.00,513.28,141.59
8.00,510.62,141.59
9.00,509.11,141.59
10.00,510.60,141.59
11.00,509.27,141.59
12.00,510.67,141.59
13.00,515.77,141.59
14.00,514.07,141.59
15.00,513.27,141.59
16.00,511.94,141.59
17.00,511.29,141.59
18.00,511.89,141.59
19.00,512.58,141.59
20.00,513.00,141.59
21.00,512.00,141.59
22.00,511.23,141.59
23.00,511.78,141.59
24.00,510.92,141.59
25.00,509.92,141.59
26.00,511.27,141.59
27.00,511.33,141.59
28.00,510.57,141.59
29.00,510.28,141.59
30.00,510.07,141.59
31.00,509.42,141.59
32.00,510.81,141.59
33.00,511.00,141.59
34.00,510.35,141.59
35.00,509.71,141.59
36.00,509.44,141.59
37.00,508.84,141.59
38.00,508.34,141.59
39.00,508.38,141.59
40.00,509.17,141.59
41.00,508.80,141.59
42.00,509.31,141.59
43.00,509.23,141.59
44.00,508.82,141.59
45.00,508.44,141.59
46.00,509.43,141.59
47.00,509.04,141.59
48.00,508.56,141.59
2.00,506.99,141.29
3.00,522.00,141.47
4.00,520.75,141.47
5.00,515.80,141.48
6.00,517.50,141.48
7.00,514.43,141.50
8.00,512.50,141.50
9.00,515.44,141.50
10.00,513.10,141.50
11.00,511.36,141.50
12.00,509.75,141.50
13.00,509.38,141.50
14.00,508.00,141.50
15.00,506.53,141.50
16.00,507.37,141.50
17.00,508.18,141.50
18.00,507.39,141.50
19.00,508.79,141.50
20.00,508.50,141.50
21.00,507.47,141.50
22.00,506.86,141.50
23.00,508.39,141.50
24.00,507.67,141.50
25.00,506.80,141.50
26.00,507.04,141.50
27.00,506.30,141.50
28.00,505.64,141.50
29.00,505.31,141.50
30.00,505.77,141.50
31.00,506.13,141.50
32.00,506.09,141.50
33.00,506.06,141.50
34.00,505.53,141.50
35.00,505.17,141.50
36.00,505.78,141.50
37.00,505.81,141.50
