sim_time_s,global_tp,global_tn,global_fp,global_fn,accuracy,fpr,mcc,f1_v1,f1_v2,f1_v3,pdr,avg_latency_ms,tm_rate_per_s,tm_delta_pct,broadcast_amplification_gamma,alert_depth_max,eps_topo,flowmod_excess_rate,avg_mitigation_latency_ms,cpu_pct,mem_mb
1.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-100.0000,1.0000,0,0.0000,0.0000,0.0000,517.4968,141.3320
2.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,110.0000,2100.0000,1.0000,0,0.0000,0.0000,0.0000,524.3356,141.5195
3.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,310.0000,6100.0000,1.0000,0,0.0000,0.0000,0.0000,522.5008,141.5195
4.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,400.0000,7900.0000,1.0000,0,0.0000,0.0000,0.0000,525.8019,141.5195
5.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,400.0000,7900.0000,1.0000,0,0.0000,0.0000,0.0000,522.3338,141.5195
6.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,400.0000,7900.0000,1.0000,0,0.0000,0.0000,0.0000,518.4279,141.5234
7.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,400.0000,7900.0000,1.0000,0,0.0000,0.0000,0.0000,522.7505,141.5234
8.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,400.0000,7900.0000,1.0000,0,0.0000,0.0000,0.0000,521.2223,141.5234
9.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,400.0000,7900.0000,1.0000,0,0.0000,0.0000,0.0000,518.7996,141.5234
10.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,400.0000,7900.0000,1.0000,0,0.0000,0.0000,0.0000,516.8175,141.5234
