sim_time_s,flowmod_cumulative,flowmod_attack_cumulative,excess_rate_per_s
1.9981,0,0,0.0000
2.9981,110,0,0.0000
3.9981,420,0,0.0000
4.9981,820,0,0.0000
5.9981,1220,0,0.0000
6.9981,1620,0,0.0000
7.9981,2020,0,0.0000
8.9981,2420,0,0.0000
9.9981,2820,0,0.0000
10.9981,3220,0,0.0000
11.9981,3620,0,0.0000
12.9981,4020,0,0.0000
13.9981,4420,0,0.0000
14.9981,4820,0,0.0000
1.9981,0,0,0.0000
2.9981,110,0,0.0000
3.9981,420,0,0.0000
4.9981,930,0,0.0000
5.9981,1640,0,0.0000
6.9981,2440,0,0.0000
7.9981,3240,0,0.0000
8.9981,4040,0,0.0000
9.9981,4840,0,0.0000
10.9981,5640,0,0.0000
11.9981,6440,0,0.0000
12.9981,7240,0,0.0000
13.9981,8040,0,0.0000
14.9981,8840,0,0.0000
15.9981,9640,0,0.0000
16.9981,10440,0,0.0000
17.9981,11240,0,0.0000
18.9981,12040,0,0.0000
19.9981,12840,0,0.0000
20.9981,13640,0,0.0000
21.9981,14440,0,0.0000
22.9981,15240,0,0.0000
23.9981,16040,0,0.0000
1.9981,0,0,0.0000
2.9981,110,0,0.0000
3.9981,420,0,0.0000
4.9981,930,0,0.0000
5.9981,1640,0,0.0000
6.9981,2550,0,0.0000
7.9981,3660,0,0.0000
8.9981,4860,0,0.0000
9.9981,6060,0,0.0000
10.9981,7260,0,0.0000
11.9981,8460,0,0.0000
12.9981,9660,0,0.0000
13.9981,10860,0,0.0000
14.9981,12060,0,0.0000
15.9981,13260,0,0.0000
16.9981,14460,0,0.0000
17.9981,15660,0,0.0000
18.9981,16860,0,0.0000
19.9981,18060,0,0.0000
20.9981,19260,0,0.0000
21.9981,20460,0,0.0000
22.9981,21660,0,0.0000
23.9981,22860,0,0.0000
24.9981,24060,0,0.0000
25.9981,25260,0,0.0000
26.9981,26460,0,0.0000
27.9981,27660,0,0.0000
28.9981,28860,0,0.0000
29.9981,30060,0,0.0000
30.9981,31260,0,0.0000
31.9981,32460,0,0.0000
1.9981,0,0,0.0000
2.9981,110,0,0.0000
3.9981,420,0,0.0000
4.9981,930,0,0.0000
5.9981,1640,0,0.0000
6.9981,2550,0,0.0000
7.9981,3660,0,0.0000
8.9981,4970,0,0.0000
9.9981,6480,0,0.0000
10.9981,8080,0,0.0000
11.9981,9680,0,0.0000
12.9981,11280,0,0.0000
13.9981,12880,0,0.0000
14.9981,14480,0,0.0000
15.9981,16080,0,0.0000
16.9981,17680,0,0.0000
17.9981,19280,0,0.0000
18.9981,20880,0,0.0000
19.9981,22480,0,0.0000
1.9981,0,0,0.0000
2.9981,110,0,0.0000
3.9981,440,0,0.0000
4.9981,860,0,0.0000
5.9981,1280,0,0.0000
6.9981,1700,0,0.0000
7.9981,2120,0,0.0000
8.9981,2540,0,0.0000
9.9981,2960,0,0.0000
10.9981,3380,0,0.0000
