# Anyanwu [16] RBF-SVM evaluated on V1 attacks
# Volume-based: detects V1 partially, blind to V2/V3
method,scenario,key_type,atk_key_type,atk_count,atk_pct,cycle,row_type,time_s,TP,TN,FP,FN,Accuracy,MCC,F1,Precision,Recall,DetRate_pct,PDR_pct,ch_load_pct,CFSR,PAIR,CDR,EML_trusted_ms,EML_bypass_ms,EML_safe_ms,SO_V2I_bytes,SO_RSU2BC_bytes,MCR,CCR,BLP_throughput_tx_s,BLP_merkle_ms,BLP_multisig_ms,KRP_rekey_ms,KRP_demote_ms,label,detected,hmac_valid_pct,delta_tm_rate,gamma,eps_topo,d_prop,eta_c,phi_v1_net,phi_v2_net,phi_v3_net,n_vehicles_active
Anyanwu_16,v3a,NONE,STOLEN_KEY,30,11.19,1,CYCLE,2.0,1485,0,215,0,0.873529,0.000039,0.932496,0.873529,1.000000,0.00,100.00,0.00,0.000000,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,0.000000,0,0.000000,0.150000,0.000000,0.830000,200
Anyanwu_16,v3a,NONE,STOLEN_KEY,30,11.19,1,CUMULATIVE,2.0,1485,0,215,0,0.873529,0.000039,0.932496,0.873529,1.000000,0.00,100.00,0.00,0.000000,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,0.000000,0,0.000000,0.150000,0.000000,0.830000,200
Anyanwu_16,v3a,NONE,STOLEN_KEY,30,11.19,2,CYCLE,4.0,1650,60,50,360,0.806604,0.101952,0.889488,0.970588,0.820896,14.29,100.00,0.00,0.562500,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.500000,1.000000,0.2500,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,1.050000,0,0.000000,0.150000,0.000000,1.130000,200
Anyanwu_16,v3a,NONE,STOLEN_KEY,30,11.19,2,CUMULATIVE,4.0,3135,60,265,360,0.836387,0.072786,0.909355,0.922059,0.896996,14.29,100.00,0.00,0.562500,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.500000,1.000000,0.2500,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,1.050000,0,0.000000,0.150000,0.000000,1.130000,200
Anyanwu_16,v3a,NONE,STOLEN_KEY,30,11.19,3,CYCLE,6.0,1650,0,50,420,0.778302,0.042218,0.875332,0.970588,0.797101,0.00,100.00,0.00,0.562500,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.642331,1.000000,0.3333,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,2.100000,0,0.000000,0.150000,0.000000,1.130000,200
Anyanwu_16,v3a,NONE,STOLEN_KEY,30,11.19,3,CUMULATIVE,6.0,4785,60,315,780,0.815657,0.013846,0.897328,0.938235,0.859838,7.14,100.00,0.00,0.562500,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.642331,1.000000,0.3333,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,2.100000,0,0.000000,0.150000,0.000000,1.130000,200
Anyanwu_16,v3a,NONE,STOLEN_KEY,30,11.19,4,CYCLE,8.0,1650,0,50,360,0.800971,0.013518,0.889488,0.970588,0.820896,0.00,100.00,0.00,0.555556,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.687952,1.000000,0.3750,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,3.000000,0,0.000000,0.150000,0.000000,1.130000,200
Anyanwu_16,v3a,NONE,STOLEN_KEY,30,11.19,4,CUMULATIVE,8.0,6435,60,365,1140,0.811875,-0.005853,0.895304,0.946324,0.849505,5.00,100.00,0.00,0.555556,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.687952,1.000000,0.3750,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,3.000000,0,0.000000,0.150000,0.000000,1.130000,200
Anyanwu_16,v3a,NONE,STOLEN_KEY,30,11.19,5,CYCLE,10.0,1650,0,50,420,0.778302,-0.004635,0.875332,0.970588,0.797101,0.00,100.00,0.00,0.557377,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.707374,1.000000,0.4000,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,4.050000,0,0.000000,0.150000,0.000000,1.130000,200
Anyanwu_16,v3a,NONE,STOLEN_KEY,30,11.19,5,CUMULATIVE,10.0,8085,60,415,1560,0.804842,-0.020434,0.891155,0.951176,0.838258,3.70,100.00,0.00,0.557377,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.707374,1.000000,0.4000,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,4.050000,0,0.000000,0.150000,0.000000,1.130000,200
