# Wang [22] single-snapshot kinematic check + DRL VM-migration recovery
# Native fit: V3 mobility-trace spoofing (paper Eq.II-B3 kinematic boundary).
# V1/V2 rows are OUT-OF-DISTRIBUTION baselines: Wang's detector was not
# designed for beacon-flooding (V1) or alert-cascade (V2) attacks, which
# are not primarily kinematic violations. Expect weak detection there —
# this demonstrates EDCF-Shield's variant-aware Phi^V1/V2/V3 advantage.
# Blind to compromised controller (v*b scenarios) in all cases.
method,scenario,key_type,atk_key_type,atk_count,atk_pct,cycle,row_type,time_s,TP,TN,FP,FN,Accuracy,MCC,F1,Precision,Recall,DetRate_pct,PDR_pct,ch_load_pct,CFSR,PAIR,CDR,EML_trusted_ms,EML_bypass_ms,EML_safe_ms,SO_V2I_bytes,SO_RSU2BC_bytes,MCR,CCR,BLP_throughput_tx_s,BLP_merkle_ms,BLP_multisig_ms,KRP_rekey_ms,KRP_demote_ms,label,detected,hmac_valid_pct,delta_tm_rate,gamma,eps_topo,d_prop,eta_c,phi_v1_net,phi_v2_net,phi_v3_net,n_vehicles_active
Wang_22,v3a,NONE,STOLEN_KEY,30,11.19,1,CYCLE,2.0,1700,0,0,0,1.000000,0.500000,1.000000,1.000000,1.000000,0.00,100.00,0.00,0.000000,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,V3,0,1.000000,-100.000000,1.000000,0.000000,0,0.000000,0.150000,0.000000,0.830000,200
Wang_22,v3a,NONE,STOLEN_KEY,30,11.19,1,CUMULATIVE,2.0,1700,0,0,0,1.000000,0.500000,1.000000,1.000000,1.000000,0.00,100.00,0.00,0.000000,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,V3,0,1.000000,-100.000000,1.000000,0.000000,0,0.000000,0.150000,0.000000,0.830000,200
Wang_22,v3a,NONE,STOLEN_KEY,30,11.19,2,CYCLE,4.0,3400,180,0,240,0.937173,0.566352,0.965909,1.000000,0.934066,42.86,100.00,0.00,0.562500,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.500000,1.000000,0.2500,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,1.050000,0,0.000000,0.150000,0.000000,1.130000,200
Wang_22,v3a,NONE,STOLEN_KEY,30,11.19,2,CUMULATIVE,4.0,3400,180,0,240,0.937173,0.632704,0.965909,1.000000,0.934066,42.86,100.00,0.00,0.562500,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.500000,1.000000,0.2500,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,1.050000,0,0.000000,0.150000,0.000000,1.130000,200
Wang_22,v3a,NONE,STOLEN_KEY,30,11.19,3,CYCLE,6.0,5100,390,0,450,0.924242,0.595294,0.957746,1.000000,0.918919,46.43,100.00,0.00,0.562500,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.642331,1.000000,0.3333,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,2.100000,0,0.000000,0.150000,0.000000,1.130000,200
Wang_22,v3a,NONE,STOLEN_KEY,30,11.19,3,CUMULATIVE,6.0,5100,390,0,450,0.924242,0.653178,0.957746,1.000000,0.918919,46.43,100.00,0.00,0.562500,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.642331,1.000000,0.3333,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,2.100000,0,0.000000,0.150000,0.000000,1.130000,200
Wang_22,v3a,NONE,STOLEN_KEY,30,11.19,4,CYCLE,8.0,6800,570,0,630,0.921250,0.611304,0.955727,1.000000,0.915209,47.50,100.00,0.00,0.555556,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.687952,1.000000,0.3750,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,3.000000,0,0.000000,0.150000,0.000000,1.130000,200
Wang_22,v3a,NONE,STOLEN_KEY,30,11.19,4,CUMULATIVE,8.0,6800,570,0,630,0.921250,0.659336,0.955727,1.000000,0.915209,47.50,100.00,0.00,0.555556,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.687952,1.000000,0.3750,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,3.000000,0,0.000000,0.150000,0.000000,1.130000,200
Wang_22,v3a,NONE,STOLEN_KEY,30,11.19,5,CYCLE,10.0,8500,780,0,840,0.916996,0.621434,0.952915,1.000000,0.910064,48.15,100.00,0.00,0.557377,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.707374,1.000000,0.4000,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,4.050000,0,0.000000,0.150000,0.000000,1.130000,200
Wang_22,v3a,NONE,STOLEN_KEY,30,11.19,5,CUMULATIVE,10.0,8500,780,0,840,0.916996,0.661951,0.952915,1.000000,0.910064,48.15,100.00,0.00,0.557377,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.707374,1.000000,0.4000,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,4.050000,0,0.000000,0.150000,0.000000,1.130000,200
Wang_22,v3a,NONE,STOLEN_KEY,30,11.19,6,CYCLE,12.0,10200,990,0,1050,0.914216,0.628416,0.951049,1.000000,0.906667,48.53,100.00,0.00,0.558442,0.000000,1.000000,1182.255,0.000,0.000,76,1448,0.719277,1.000000,0.4167,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,5.100000,0,0.000000,0.150000,0.000000,1.130000,200
Wang_22,v3a,NONE,STOLEN_KEY,30,11.19,6,CUMULATIVE,12.0,10200,990,0,1050,0.914216,0.663325,0.951049,1.000000,0.906667,48.53,100.00,0.00,0.558442,0.000000,1.000000,1182.255,0.000,0.000,76,1448,0.719277,1.000000,0.4167,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,5.100000,0,0.000000,0.150000,0.000000,1.130000,200
Wang_22,v3a,NONE,STOLEN_KEY,30,11.19,7,CYCLE,14.0,11900,1170,0,1230,0.913986,0.633600,0.950859,1.000000,0.906321,48.75,100.00,0.00,0.570662,0.000000,1.000000,1168.622,0.000,0.000,76,1448,0.727312,1.000000,0.4286,2.0000,0.0000,16.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,6.000000,0,0.000000,0.150000,0.000000,1.130000,200
Wang_22,v3a,NONE,STOLEN_KEY,30,11.19,7,CUMULATIVE,14.0,11900,1170,0,1230,0.913986,0.664704,0.950859,1.000000,0.906321,48.75,100.00,0.00,0.570662,0.000000,1.000000,1168.622,0.000,0.000,76,1448,0.727312,1.000000,0.4286,2.0000,0.0000,16.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,6.000000,0,0.000000,0.150000,0.000000,1.130000,200
Wang_22,v3a,NONE,STOLEN_KEY,30,11.19,8,CYCLE,14.5,12070,1200,0,1260,0.913283,0.637475,0.950394,1.000000,0.905476,48.78,100.00,0.00,0.573657,0.000000,1.000000,1168.622,0.000,0.000,76,1448,0.736121,1.000000,0.4828,2.0000,0.0000,16.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,6.150000,0,0.000000,0.150000,0.000000,0.990000,200
Wang_22,v3a,NONE,STOLEN_KEY,30,11.19,8,CUMULATIVE,14.5,12070,1200,0,1260,0.913283,0.664602,0.950394,1.000000,0.905476,48.78,100.00,0.00,0.573657,0.000000,1.000000,1168.622,0.000,0.000,76,1448,0.736121,1.000000,0.4828,2.0000,0.0000,16.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,6.150000,0,0.000000,0.150000,0.000000,0.990000,200
Wang_22,v3a,NONE,STOLEN_KEY,60,22.39,1,CYCLE,2.0,1400,0,0,0,1.000000,0.500000,1.000000,1.000000,1.000000,0.00,100.00,0.00,0.000000,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,V3,0,1.000000,-100.000000,1.000000,0.000000,0,0.000000,0.300000,0.000000,0.680000,200
