scenario,atk_count,cycle,time_s,row_type,node_id,fake_beacons_this_window,network_fake_mac_count,network_real_vehicle_count,rho_new_identity_diag,term1_fraction,term3_fraction,phi_v1_composite_net
v3a,30,0,1.998,NETWORK,0,,0,200,0.000000,0.150000,0.000000,0.150000
v3a,30,1,2.998,NETWORK,0,,0,200,0.000000,0.150000,0.000000,0.150000
v3a,30,2,4.998,NETWORK,0,,0,200,0.000000,0.150000,0.000000,0.150000
v3a,30,3,6.998,NETWORK,0,,0,200,0.000000,0.150000,0.000000,0.150000
v3a,30,4,8.998,NETWORK,0,,0,200,0.000000,0.150000,0.000000,0.150000
v3a,30,5,10.998,NETWORK,0,,0,200,0.000000,0.150000,0.000000,0.150000
v3a,30,6,12.998,NETWORK,0,,0,200,0.000000,0.150000,0.000000,0.150000
v3a,60,0,1.998,NETWORK,0,,0,200,0.000000,0.300000,0.000000,0.300000
v3a,60,1,2.998,NETWORK,0,,0,200,0.000000,0.300000,0.000000,0.300000
v3a,60,2,4.998,NETWORK,0,,0,200,0.000000,0.300000,0.000000,0.300000
v3a,60,3,6.998,NETWORK,0,,0,200,0.000000,0.300000,0.000000,0.300000
v3a,60,4,8.998,NETWORK,0,,0,200,0.000000,0.300000,0.000000,0.300000
v3a,60,5,10.998,NETWORK,0,,0,200,0.000000,0.300000,0.000000,0.300000
v3a,60,6,12.998,NETWORK,0,,0,200,0.000000,0.300000,0.000000,0.300000
v3a,90,0,1.998,NETWORK,0,,0,200,0.000000,0.450000,0.000000,0.450000
v3a,90,1,2.998,NETWORK,0,,0,200,0.000000,0.450000,0.000000,0.450000
v3a,90,2,4.998,NETWORK,0,,0,200,0.000000,0.450000,0.000000,0.450000
v3a,90,3,6.998,NETWORK,0,,0,200,0.000000,0.450000,0.000000,0.450000
v3a,90,4,8.998,NETWORK,0,,0,200,0.000000,0.450000,0.000000,0.450000
v3a,90,5,10.998,NETWORK,0,,0,200,0.000000,0.450000,0.000000,0.450000
v3a,90,6,12.998,NETWORK,0,,0,200,0.000000,0.450000,0.000000,0.450000
v3a,120,0,1.998,NETWORK,0,,0,200,0.000000,0.600000,0.000000,0.600000
v3a,120,1,2.998,NETWORK,0,,0,200,0.000000,0.600000,0.000000,0.600000
v3a,120,2,4.998,NETWORK,0,,0,200,0.000000,0.600000,0.000000,0.600000
v3a,120,3,6.998,NETWORK,0,,0,200,0.000000,0.600000,0.000000,0.600000
v3a,120,4,8.998,NETWORK,0,,0,200,0.000000,0.600000,0.000000,0.600000
v3a,120,5,10.998,NETWORK,0,,0,200,0.000000,0.600000,0.000000,0.600000
v3a,120,6,12.998,NETWORK,0,,0,200,0.000000,0.600000,0.000000,0.600000
v3a,150,0,1.998,NETWORK,0,,0,200,0.000000,0.750000,0.000000,0.750000
v3a,150,1,2.998,NETWORK,0,,0,200,0.000000,0.750000,0.000000,0.750000
v3a,150,2,4.998,NETWORK,0,,0,200,0.000000,0.750000,0.000000,0.750000
