sim_time_s,flowmod_cumulative,flowmod_attack_cumulative,excess_rate_per_s
1.9981,0,0,0.0000
2.9981,120,120,40.0256
3.9981,210,210,52.5252
4.9981,300,300,60.0230
5.9981,420,420,70.0224
6.9981,510,510,72.8771
7.9981,600,600,75.0180
8.9981,720,720,80.0171
9.9981,810,810,81.0156
10.9981,900,900,81.8325
11.9981,1020,1020,85.0136
12.9981,1110,1110,85.3972
13.9981,1200,1200,85.7260
1.9981,0,0,0.0000
2.9981,240,240,80.0512
3.9981,420,420,105.0504
4.9981,600,600,120.0461
5.9981,840,840,140.0448
6.9981,1020,1020,145.7543
7.9981,1200,1200,150.0360
8.9981,1440,1440,160.0341
9.9981,1620,1620,162.0311
10.9981,1800,1800,163.6649
11.9981,2040,2040,170.0272
12.9981,2220,2220,170.7945
13.9981,2400,2400,171.4521
1.9981,0,0,0.0000
2.9981,360,360,120.0768
3.9981,630,630,157.5756
4.9981,900,900,180.0691
5.9981,1260,1260,210.0672
6.9981,1530,1530,218.6314
7.9981,1800,1800,225.0540
8.9981,2160,2160,240.0512
9.9981,2430,2430,243.0467
10.9981,2700,2700,245.4974
11.9981,3060,3060,255.0408
12.9981,3330,3330,256.1917
13.9981,3600,3600,257.1781
1.9981,0,0,0.0000
2.9981,480,480,160.1025
3.9981,840,840,210.1008
4.9981,1200,1200,240.0922
5.9981,1680,1680,280.0896
6.9981,2040,2040,291.5085
7.9981,2400,2400,300.0720
8.9981,2880,2880,320.0683
9.9981,3240,3240,324.0622
10.9981,3600,3600,327.3299
11.9981,4080,4080,340.0544
12.9981,4440,4440,341.5889
13.9981,4800,4800,342.9042
1.9981,0,0,0.0000
2.9981,600,600,200.1281
3.9981,1050,1050,262.6261
4.9981,1500,1500,300.1152
5.9981,2100,2100,350.1120
6.9981,2550,2550,364.3857
7.9981,3000,3000,375.0900
8.9981,3600,3600,400.0854
9.9981,4050,4050,405.0778
10.9981,4500,4500,409.1623
11.9981,5100,5100,425.0680
12.9981,5550,5550,426.9861
13.9981,6000,6000,428.6302
1.9981,0,0,0.0000
2.9981,720,720,240.1537
3.9981,1260,1260,315.1513
4.9981,1800,1800,360.1383
5.9981,2520,2520,420.1344
6.9981,3060,3060,437.2628
7.9981,3600,3600,450.1080
8.9981,4320,4320,480.1024
9.9981,4860,4860,486.0933
10.9981,5400,5400,490.9948
11.9981,6120,6120,510.0816
12.9981,6660,6660,512.3834
13.9981,7200,7200,514.3563
1.9981,0,0,0.0000
2.9981,120,120,40.0256
3.9981,214,214,53.5257
4.9981,307,307,61.4236
5.9981,430,430,71.6896
6.9981,524,524,74.8777
7.9981,617,617,77.1435
8.9981,740,740,82.2398
9.9981,834,834,83.4160
10.9981,927,927,84.2874
11.9981,1050,1050,87.5140
12.9981,1144,1144,88.0130
13.9981,1237,1237,88.3693
1.9981,0,0,0.0000
2.9981,240,240,80.0512
3.9981,424,424,106.0509
4.9981,607,607,121.4466
5.9981,850,850,141.7120
6.9981,1034,1034,147.7548
7.9981,1217,1217,152.1615
8.9981,1460,1460,162.2568
9.9981,1644,1644,164.4316
10.9981,1827,1827,166.1199
11.9981,2070,2070,172.5276
12.9981,2254,2254,173.4102
13.9981,2437,2437,174.0953
1.9981,0,0,0.0000
2.9981,360,360,120.0768
3.9981,634,634,158.5761
4.9981,907,907,181.4697
5.9981,1270,1270,211.7344
6.9981,1544,1544,220.6319
7.9981,1817,1817,227.1795
8.9981,2180,2180,242.2739
9.9981,2454,2454,245.4471
10.9981,2727,2727,247.9524
11.9981,3090,3090,257.5412
12.9981,3364,3364,258.8075
13.9981,3637,3637,259.8213
1.9981,0,0,0.0000
2.9981,480,480,160.1025
3.9981,844,844,211.1013
4.9981,1207,1207,241.4927
5.9981,1690,1690,281.7568
6.9981,2054,2054,293.5091
7.9981,2417,2417,302.1975
8.9981,2900,2900,322.2910
9.9981,3264,3264,326.4627
10.9981,3627,3627,329.7848
11.9981,4110,4110,342.5548
12.9981,4474,4474,344.2047
13.9981,4837,4837,345.5474
1.9981,0,0,0.0000
2.9981,600,600,200.1281
3.9981,1054,1054,263.6265
4.9981,1507,1507,301.5158
5.9981,2110,2110,351.7792
6.9981,2564,2564,366.3862
7.9981,3017,3017,377.2155
8.9981,3620,3620,402.3080
9.9981,4074,4074,407.4782
10.9981,4527,4527,411.6173
11.9981,5130,5130,427.5684
12.9981,5584,5584,429.6019
13.9981,6037,6037,431.2734
