# Anyanwu [16] RBF-SVM evaluated on V1 attacks
# Volume-based: detects V1 partially, blind to V2/V3
method,scenario,key_type,atk_key_type,atk_count,atk_pct,cycle,row_type,time_s,TP,TN,FP,FN,Accuracy,MCC,F1,Precision,Recall,DetRate_pct,PDR_pct,ch_load_pct,CFSR,PAIR,CDR,EML_trusted_ms,EML_bypass_ms,EML_safe_ms,SO_V2I_bytes,SO_RSU2BC_bytes,MCR,CCR,BLP_throughput_tx_s,BLP_merkle_ms,BLP_multisig_ms,KRP_rekey_ms,KRP_demote_ms,label,detected,hmac_valid_pct,delta_tm_rate,gamma,eps_topo,d_prop,eta_c,phi_v1_net,phi_v2_net,phi_v3_net,n_vehicles_active
Anyanwu_16,v1a,NONE,STOLEN_KEY,30,11.19,1,CYCLE,2.0,1485,0,215,0,0.873529,0.000039,0.932496,0.873529,1.000000,0.00,100.00,0.00,0.000000,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,V1,1,1.000000,-100.000000,1.000000,0.000000,0,0.000000,0.150000,0.000000,0.000000,200
Anyanwu_16,v1a,NONE,STOLEN_KEY,30,11.19,1,CUMULATIVE,2.0,1485,0,215,0,0.873529,0.000039,0.932496,0.873529,1.000000,0.00,100.00,0.00,0.000000,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,V1,1,1.000000,-100.000000,1.000000,0.000000,0,0.000000,0.150000,0.000000,0.000000,200
Anyanwu_16,v1a,NONE,STOLEN_KEY,30,11.19,2,CYCLE,4.0,1650,600,50,0,0.978261,0.473287,0.985075,0.970588,1.000000,100.00,79.13,26.09,0.487179,0.495652,1.000000,0.000,0.000,0.000,76,1448,0.500000,1.000000,0.2500,2.0000,3.0000,0.0000,0.0000,V1,1,0.850000,2900.000000,1.000000,0.000000,0,0.150000,0.300000,0.000000,0.000000,200
Anyanwu_16,v1a,NONE,STOLEN_KEY,30,11.19,2,CUMULATIVE,4.0,3135,600,265,0,0.933750,0.799736,0.959449,0.922059,1.000000,100.00,88.00,15.00,0.487179,0.495652,1.000000,0.000,0.000,0.000,76,1448,0.500000,1.000000,0.2500,2.0000,3.0000,0.0000,0.0000,V1,1,0.850000,2900.000000,1.000000,0.000000,0,0.150000,0.300000,0.000000,0.000000,200
Anyanwu_16,v1a,NONE,STOLEN_KEY,30,11.19,3,CYCLE,6.0,1650,600,50,0,0.978261,0.631036,0.985075,0.970588,1.000000,100.00,79.13,26.09,0.493671,0.500000,1.000000,0.000,0.000,0.000,76,1448,0.735204,1.000000,0.3333,2.0000,3.0000,0.0000,0.0000,V1,1,0.809524,3900.000000,1.000000,0.000000,0,0.190476,0.300000,0.000000,0.000000,200
Anyanwu_16,v1a,NONE,STOLEN_KEY,30,11.19,3,CUMULATIVE,6.0,4785,1200,315,0,0.950000,0.862065,0.968134,0.938235,1.000000,100.00,84.76,19.05,0.493671,0.500000,1.000000,0.000,0.000,0.000,76,1448,0.735204,1.000000,0.3333,2.0000,3.0000,0.0000,0.0000,V1,1,0.809524,3900.000000,1.000000,0.000000,0,0.190476,0.300000,0.000000,0.000000,200
Anyanwu_16,v1a,NONE,STOLEN_KEY,30,11.19,4,CYCLE,8.0,1650,600,50,0,0.978261,0.709911,0.985075,0.970588,1.000000,100.00,79.13,26.09,0.495798,0.501416,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.3750,2.0000,3.0000,0.0000,0.0000,V1,1,0.790698,4400.000000,1.000000,0.000000,0,0.209302,0.300000,0.000000,0.000000,200
Anyanwu_16,v1a,NONE,STOLEN_KEY,30,11.19,4,CUMULATIVE,8.0,6435,1800,365,0,0.957558,0.887007,0.972422,0.946324,1.000000,100.00,83.26,20.93,0.495798,0.501416,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.3750,2.0000,3.0000,0.0000,0.0000,V1,1,0.790698,4400.000000,1.000000,0.000000,0,0.209302,0.300000,0.000000,0.000000,200
Anyanwu_16,v1a,NONE,STOLEN_KEY,30,11.19,5,CYCLE,10.0,1650,600,50,0,0.978261,0.757235,0.985075,0.970588,1.000000,100.00,79.13,26.09,0.496855,0.502119,1.000000,0.000,0.000,0.000,76,1448,0.989451,1.000000,0.4000,2.0000,3.0000,0.0000,0.0000,V1,1,0.779817,4700.000000,1.000000,0.000000,0,0.220183,0.300000,0.000000,0.000000,200
Anyanwu_16,v1a,NONE,STOLEN_KEY,30,11.19,5,CUMULATIVE,10.0,8085,2400,415,0,0.961927,0.900527,0.974977,0.951176,1.000000,100.00,82.39,22.02,0.496855,0.502119,1.000000,0.000,0.000,0.000,76,1448,0.989451,1.000000,0.4000,2.0000,3.0000,0.0000,0.0000,V1,1,0.779817,4700.000000,1.000000,0.000000,0,0.220183,0.300000,0.000000,0.000000,200
Anyanwu_16,v1a,NONE,STOLEN_KEY,30,11.19,6,CYCLE,12.0,1650,600,50,0,0.978261,0.788785,0.985075,0.970588,1.000000,100.00,79.13,26.09,0.497487,0.502538,1.000000,0.000,0.000,0.000,76,1448,0.990716,1.000000,0.4167,2.0000,3.0000,0.0000,0.0000,V1,1,0.772727,4900.000000,1.000000,0.000000,0,0.227273,0.300000,0.000000,0.000000,200
Anyanwu_16,v1a,NONE,STOLEN_KEY,30,11.19,6,CUMULATIVE,12.0,9735,3000,465,0,0.964773,0.909027,0.976674,0.954412,1.000000,100.00,81.82,22.73,0.497487,0.502538,1.000000,0.000,0.000,0.000,76,1448,0.990716,1.000000,0.4167,2.0000,3.0000,0.0000,0.0000,V1,1,0.772727,4900.000000,1.000000,0.000000,0,0.227273,0.300000,0.000000,0.000000,200
