# Wang [22] single-snapshot kinematic check + DRL VM-migration recovery
# Native fit: V3 mobility-trace spoofing (paper Eq.II-B3 kinematic boundary).
# V1/V2 rows are OUT-OF-DISTRIBUTION baselines: Wang's detector was not
# designed for beacon-flooding (V1) or alert-cascade (V2) attacks, which
# are not primarily kinematic violations. Expect weak detection there —
# this demonstrates EDCF-Shield's variant-aware Phi^V1/V2/V3 advantage.
# Blind to compromised controller (v*b scenarios) in all cases.
method,scenario,key_type,atk_key_type,atk_count,atk_pct,cycle,row_type,time_s,TP,TN,FP,FN,Accuracy,MCC,F1,Precision,Recall,DetRate_pct,PDR_pct,ch_load_pct,CFSR,PAIR,CDR,EML_trusted_ms,EML_bypass_ms,EML_safe_ms,SO_V2I_bytes,SO_RSU2BC_bytes,MCR,CCR,BLP_throughput_tx_s,BLP_merkle_ms,BLP_multisig_ms,KRP_rekey_ms,KRP_demote_ms,label,detected,hmac_valid_pct,delta_tm_rate,gamma,eps_topo,d_prop,eta_c,phi_v1_net,phi_v2_net,phi_v3_net,n_vehicles_active
Wang_22,v1a,NONE,STOLEN_KEY,30,11.19,1,CYCLE,2.0,1700,0,0,0,1.000000,0.500000,1.000000,1.000000,1.000000,0.00,100.00,0.00,0.000000,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,V1,0,1.000000,-100.000000,1.000000,0.000000,0,0.000000,0.150000,0.000000,0.000000,200
Wang_22,v1a,NONE,STOLEN_KEY,30,11.19,1,CUMULATIVE,2.0,1700,0,0,0,1.000000,0.500000,1.000000,1.000000,1.000000,0.00,100.00,0.00,0.000000,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,V1,0,1.000000,-100.000000,1.000000,0.000000,0,0.000000,0.150000,0.000000,0.000000,200
Wang_22,v1a,NONE,STOLEN_KEY,30,11.19,2,CYCLE,4.0,3400,0,0,600,0.850000,0.250011,0.918919,1.000000,0.850000,0.00,79.13,26.09,0.487179,0.495652,1.000000,0.000,0.000,0.000,76,1448,0.500000,1.000000,0.2500,2.0000,3.0000,0.0000,0.0000,V1,0,0.850000,2900.000000,1.000000,0.000000,0,0.150000,0.300000,0.000000,0.000000,200
Wang_22,v1a,NONE,STOLEN_KEY,30,11.19,2,CUMULATIVE,4.0,3400,0,0,600,0.850000,0.000022,0.918919,1.000000,0.850000,0.00,88.00,15.00,0.487179,0.495652,1.000000,0.000,0.000,0.000,76,1448,0.500000,1.000000,0.2500,2.0000,3.0000,0.0000,0.0000,V1,0,0.850000,2900.000000,1.000000,0.000000,0,0.150000,0.300000,0.000000,0.000000,200
Wang_22,v1a,NONE,STOLEN_KEY,30,11.19,3,CYCLE,6.0,5100,0,0,1200,0.809524,0.166679,0.894737,1.000000,0.809524,0.00,79.13,26.09,0.493671,0.500000,1.000000,0.000,0.000,0.000,76,1448,0.735204,1.000000,0.3333,2.0000,3.0000,0.0000,0.0000,V1,0,0.809524,3900.000000,1.000000,0.000000,0,0.190476,0.300000,0.000000,0.000000,200
Wang_22,v1a,NONE,STOLEN_KEY,30,11.19,3,CUMULATIVE,6.0,5100,0,0,1200,0.809524,0.000014,0.894737,1.000000,0.809524,0.00,84.76,19.05,0.493671,0.500000,1.000000,0.000,0.000,0.000,76,1448,0.735204,1.000000,0.3333,2.0000,3.0000,0.0000,0.0000,V1,0,0.809524,3900.000000,1.000000,0.000000,0,0.190476,0.300000,0.000000,0.000000,200
Wang_22,v1a,NONE,STOLEN_KEY,30,11.19,4,CYCLE,8.0,6800,0,0,1800,0.790698,0.125012,0.883117,1.000000,0.790698,0.00,79.13,26.09,0.495798,0.501416,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.3750,2.0000,3.0000,0.0000,0.0000,V1,0,0.790698,4400.000000,1.000000,0.000000,0,0.209302,0.300000,0.000000,0.000000,200
Wang_22,v1a,NONE,STOLEN_KEY,30,11.19,4,CUMULATIVE,8.0,6800,0,0,1800,0.790698,0.000011,0.883117,1.000000,0.790698,0.00,83.26,20.93,0.495798,0.501416,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.3750,2.0000,3.0000,0.0000,0.0000,V1,0,0.790698,4400.000000,1.000000,0.000000,0,0.209302,0.300000,0.000000,0.000000,200
Wang_22,v1a,NONE,STOLEN_KEY,30,11.19,5,CYCLE,10.0,8500,0,0,2400,0.779817,0.100011,0.876289,1.000000,0.779817,0.00,79.13,26.09,0.496855,0.502119,1.000000,0.000,0.000,0.000,76,1448,0.989451,1.000000,0.4000,2.0000,3.0000,0.0000,0.0000,V1,0,0.779817,4700.000000,1.000000,0.000000,0,0.220183,0.300000,0.000000,0.000000,200
Wang_22,v1a,NONE,STOLEN_KEY,30,11.19,5,CUMULATIVE,10.0,8500,0,0,2400,0.779817,0.000009,0.876289,1.000000,0.779817,0.00,82.39,22.02,0.496855,0.502119,1.000000,0.000,0.000,0.000,76,1448,0.989451,1.000000,0.4000,2.0000,3.0000,0.0000,0.0000,V1,0,0.779817,4700.000000,1.000000,0.000000,0,0.220183,0.300000,0.000000,0.000000,200
Wang_22,v1a,NONE,STOLEN_KEY,30,11.19,6,CYCLE,12.0,10200,0,0,3000,0.772727,0.083344,0.871795,1.000000,0.772727,0.00,79.13,26.09,0.497487,0.502538,1.000000,0.000,0.000,0.000,76,1448,0.990716,1.000000,0.4167,2.0000,3.0000,0.0000,0.0000,V1,0,0.772727,4900.000000,1.000000,0.000000,0,0.227273,0.300000,0.000000,0.000000,200
Wang_22,v1a,NONE,STOLEN_KEY,30,11.19,6,CUMULATIVE,12.0,10200,0,0,3000,0.772727,0.000008,0.871795,1.000000,0.772727,0.00,81.82,22.73,0.497487,0.502538,1.000000,0.000,0.000,0.000,76,1448,0.990716,1.000000,0.4167,2.0000,3.0000,0.0000,0.0000,V1,0,0.772727,4900.000000,1.000000,0.000000,0,0.227273,0.300000,0.000000,0.000000,200
Wang_22,v1a,NONE,STOLEN_KEY,30,11.19,7,CYCLE,14.0,11900,0,0,3600,0.767742,0.071439,0.868613,1.000000,0.767742,0.00,79.13,26.09,0.497908,0.502817,1.000000,0.000,0.000,0.000,76,1448,0.991653,1.000000,0.4286,2.0000,3.0000,0.0000,0.0000,V1,0,0.767742,5042.857143,1.000000,0.000000,0,0.232258,0.300000,0.000000,0.000000,200
Wang_22,v1a,NONE,STOLEN_KEY,30,11.19,7,CUMULATIVE,14.0,11900,0,0,3600,0.767742,0.000007,0.868613,1.000000,0.767742,0.00,81.42,23.23,0.497908,0.502817,1.000000,0.000,0.000,0.000,76,1448,0.991653,1.000000,0.4286,2.0000,3.0000,0.0000,0.0000,V1,0,0.767742,5042.857143,1.000000,0.000000,0,0.232258,0.300000,0.000000,0.000000,200
