scenario,atk_count,cycle,time_s,t_mem,rho_novelty_override,atk_events,novel_events,rho_novelty
v1a,30,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1a,30,2,4.000000,5.000000,-1.000000,600,30,0.050000
v1a,30,3,6.000000,5.000000,-1.000000,600,0,0.000000
v1a,30,4,8.000000,5.000000,-1.000000,600,0,0.000000
v1a,30,5,10.000000,5.000000,-1.000000,600,0,0.000000
v1a,30,6,12.000000,5.000000,-1.000000,600,0,0.000000
v1a,30,7,14.000000,5.000000,-1.000000,600,0,0.000000
v1a,30,8,16.000000,5.000000,-1.000000,600,0,0.000000
v1a,30,9,18.000000,5.000000,-1.000000,600,0,0.000000
v1a,30,10,20.000000,5.000000,-1.000000,600,0,0.000000
v1a,30,11,22.000000,5.000000,-1.000000,600,0,0.000000
v1a,30,12,24.000000,5.000000,-1.000000,600,0,0.000000
v1a,30,13,26.000000,5.000000,-1.000000,600,0,0.000000
v1a,30,14,28.000000,5.000000,-1.000000,600,0,0.000000
v1a,30,15,29.500000,5.000000,-1.000000,330,0,0.000000
v1a,60,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1a,60,2,4.000000,5.000000,-1.000000,1200,60,0.050000
v1a,60,3,6.000000,5.000000,-1.000000,1200,0,0.000000
v1a,60,4,8.000000,5.000000,-1.000000,1200,0,0.000000
v1a,60,5,10.000000,5.000000,-1.000000,1200,0,0.000000
v1a,60,6,12.000000,5.000000,-1.000000,1200,0,0.000000
v1a,60,7,14.000000,5.000000,-1.000000,1200,0,0.000000
v1a,60,8,16.000000,5.000000,-1.000000,1200,0,0.000000
v1a,60,9,18.000000,5.000000,-1.000000,1200,0,0.000000
v1a,60,10,20.000000,5.000000,-1.000000,1200,0,0.000000
v1a,60,11,22.000000,5.000000,-1.000000,1200,0,0.000000
v1a,60,12,24.000000,5.000000,-1.000000,1200,0,0.000000
v1a,60,13,26.000000,5.000000,-1.000000,1200,0,0.000000
v1a,60,14,28.000000,5.000000,-1.000000,1200,0,0.000000
