scenario,atk_count,node_id,is_atk,hmac_ok,sig_flag,edcf_result
v2b,120,186,0,1,0,TP
v2b,120,127,0,1,0,TP
v2b,120,176,0,1,0,TP
v2b,120,195,0,1,0,TP
v2b,120,143,0,1,0,TP
v2b,120,148,0,1,0,TP
v2b,120,147,0,1,0,TP
v2b,120,158,0,1,0,TP
v2b,120,136,0,1,0,TP
v2b,120,139,0,1,0,TP
v2b,120,197,0,1,0,TP
v2b,120,151,0,1,0,TP
v2b,120,142,0,1,0,TP
v2b,120,167,0,1,0,TP
v2b,120,130,0,1,0,TP
v2b,120,144,0,1,0,TP
v2b,120,179,0,1,0,TP
v2b,120,173,0,1,0,TP
v2b,120,168,0,1,0,TP
v2b,120,204,0,1,0,TP
v2b,120,196,0,1,0,TP
v2b,120,187,0,1,0,TP
v2b,120,129,0,1,0,TP
v2b,120,192,0,1,0,TP
v2b,120,193,0,1,0,TP
v2b,120,184,0,1,0,TP
v2b,120,165,0,1,0,TP
v2b,120,141,0,1,0,TP
v2b,120,128,0,1,0,TP
v2b,120,177,0,1,0,TP
v2b,120,135,0,1,0,TP
v2b,120,183,0,1,0,TP
v2b,120,164,0,1,0,TP
v2b,120,157,0,1,0,TP
v2b,120,160,0,1,0,TP
v2b,120,199,0,1,0,TP
v2b,120,203,0,1,0,TP
v2b,120,198,0,1,0,TP
v2b,120,181,0,1,0,TP
v2b,120,172,0,1,0,TP
v2b,120,201,0,1,0,TP
v2b,120,155,0,1,0,TP
v2b,120,126,0,1,0,TP
v2b,120,125,0,1,0,TP
v2b,120,188,0,1,0,TP
v2b,120,149,0,1,0,TP
v2b,120,185,0,1,0,TP
v2b,120,159,0,1,0,TP
v2b,120,162,0,1,0,TP
v2b,120,175,0,1,0,TP
v2b,120,153,0,1,0,TP
v2b,120,178,0,1,0,TP
v2b,120,150,0,1,0,TP
v2b,120,202,0,1,0,TP
v2b,120,133,0,1,0,TP
v2b,120,166,0,1,0,TP
v2b,120,171,0,1,0,TP
v2b,120,191,0,1,0,TP
v2b,120,156,0,1,0,TP
v2b,120,132,0,1,0,TP
v2b,120,145,0,1,0,TP
v2b,120,174,0,1,0,TP
v2b,120,163,0,1,0,TP
v2b,120,137,0,1,0,TP
v2b,120,169,0,1,0,TP
v2b,120,194,0,1,0,TP
v2b,120,200,0,1,0,TP
v2b,120,131,0,1,0,TP
v2b,120,161,0,1,0,TP
v2b,120,140,0,1,0,TP
v2b,120,170,0,1,0,TP
v2b,120,138,0,1,0,TP
v2b,120,154,0,1,0,TP
v2b,120,190,0,1,0,TP
v2b,120,182,0,1,0,TP
v2b,120,180,0,1,0,TP
v2b,120,152,0,1,0,TP
v2b,120,189,0,1,0,TP
v2b,120,146,0,1,0,TP
v2b,120,134,0,1,0,TP
v2b,120,186,0,1,0,TP
v2b,120,127,0,1,0,TP
v2b,120,176,0,1,0,TP
v2b,120,195,0,1,0,TP
v2b,120,143,0,1,0,TP
v2b,120,148,0,1,0,TP
v2b,120,147,0,1,0,TP
v2b,120,158,0,1,0,TP
v2b,120,136,0,1,0,TP
v2b,120,139,0,1,0,TP
v2b,120,197,0,1,0,TP
v2b,120,151,0,1,0,TP
v2b,120,142,0,1,0,TP
v2b,120,167,0,1,0,TP
v2b,120,130,0,1,0,TP
v2b,120,144,0,1,0,TP
v2b,120,179,0,1,0,TP
v2b,120,173,0,1,0,TP
v2b,120,168,0,1,0,TP
v2b,120,204,0,1,0,TP
v2b,120,196,0,1,0,TP
v2b,120,187,0,1,0,TP
v2b,120,129,0,1,0,TP
v2b,120,192,0,1,0,TP
v2b,120,193,0,1,0,TP
v2b,120,184,0,1,0,TP
v2b,120,165,0,1,0,TP
v2b,120,141,0,1,0,TP
v2b,120,128,0,1,0,TP
v2b,120,177,0,1,0,TP
v2b,120,135,0,1,0,TP
v2b,120,183,0,1,0,TP
v2b,120,164,0,1,0,TP
v2b,120,157,0,1,0,TP
v2b,120,160,0,1,0,TP
v2b,120,199,0,1,0,TP
v2b,120,203,0,1,0,TP
v2b,120,198,0,1,0,TP
v2b,120,181,0,1,0,TP
v2b,120,172,0,1,0,TP
v2b,120,201,0,1,0,TP
v2b,120,155,0,1,0,TP
v2b,120,126,0,1,0,TP
v2b,120,125,0,1,0,TP
v2b,120,188,0,1,0,TP
v2b,120,149,0,1,0,TP
v2b,120,185,0,1,0,TP
v2b,120,159,0,1,0,TP
v2b,120,162,0,1,0,TP
v2b,120,175,0,1,0,TP
v2b,120,153,0,1,0,TP
v2b,120,178,0,1,0,TP
v2b,120,150,0,1,0,TP
v2b,120,202,0,1,0,TP
v2b,120,133,0,1,0,TP
v2b,120,166,0,1,0,TP
v2b,120,171,0,1,0,TP
v2b,120,191,0,1,0,TP
v2b,120,156,0,1,0,TP
v2b,120,132,0,1,0,TP
v2b,120,145,0,1,0,TP
v2b,120,174,0,1,0,TP
v2b,120,163,0,1,0,TP
v2b,120,137,0,1,0,TP
v2b,120,169,0,1,0,TP
v2b,120,194,0,1,0,TP
v2b,120,200,0,1,0,TP
v2b,120,131,0,1,0,TP
v2b,120,161,0,1,0,TP
v2b,120,140,0,1,0,TP
v2b,120,170,0,1,0,TP
v2b,120,138,0,1,0,TP
v2b,120,154,0,1,0,TP
v2b,120,190,0,1,0,TP
v2b,120,182,0,1,0,TP
v2b,120,180,0,1,0,TP
v2b,120,152,0,1,0,TP
v2b,120,189,0,1,0,TP
v2b,120,146,0,1,0,TP
v2b,120,134,0,1,0,TP
v2b,120,186,0,1,0,TP
v2b,120,127,0,1,0,TP
v2b,120,176,0,1,0,TP
v2b,120,195,0,1,0,TP
v2b,120,143,0,1,0,TP
v2b,120,148,0,1,0,TP
v2b,120,147,0,1,0,TP
v2b,120,158,0,1,0,TP
v2b,120,136,0,1,0,TP
v2b,120,139,0,1,0,TP
v2b,120,197,0,1,0,TP
v2b,120,151,0,1,0,TP
v2b,120,142,0,1,0,TP
v2b,120,167,0,1,0,TP
v2b,120,130,0,1,0,TP
v2b,120,144,0,1,0,TP
v2b,120,179,0,1,0,TP
v2b,120,173,0,1,0,TP
v2b,120,168,0,1,0,TP
v2b,120,204,0,1,0,TP
v2b,120,196,0,1,0,TP
v2b,120,187,0,1,0,TP
v2b,120,129,0,1,0,TP
v2b,120,192,0,1,0,TP
v2b,120,193,0,1,0,TP
v2b,120,184,0,1,0,TP
v2b,120,165,0,1,0,TP
v2b,120,141,0,1,0,TP
v2b,120,128,0,1,0,TP
v2b,120,177,0,1,0,TP
v2b,120,135,0,1,0,TP
v2b,120,183,0,1,0,TP
v2b,120,164,0,1,0,TP
v2b,120,157,0,1,0,TP
v2b,120,160,0,1,0,TP
v2b,120,199,0,1,0,TP
v2b,120,203,0,1,0,TP
v2b,120,198,0,1,0,TP
v2b,120,181,0,1,0,TP
v2b,120,172,0,1,0,TP
v2b,120,201,0,1,0,TP
v2b,120,155,0,1,0,TP
v2b,120,126,0,1,0,TP
v2b,120,125,0,1,0,TP
v2b,120,188,0,1,0,TP
v2b,120,149,0,1,0,TP
v2b,120,185,0,1,0,TP
v2b,120,159,0,1,0,TP
v2b,120,162,0,1,0,TP
v2b,120,175,0,1,0,TP
v2b,120,153,0,1,0,TP
v2b,120,178,0,1,0,TP
v2b,120,150,0,1,0,TP
v2b,120,202,0,1,0,TP
v2b,120,133,0,1,0,TP
v2b,120,166,0,1,0,TP
v2b,120,171,0,1,0,TP
v2b,120,191,0,1,0,TP
v2b,120,156,0,1,0,TP
v2b,120,132,0,1,0,TP
v2b,120,145,0,1,0,TP
v2b,120,174,0,1,0,TP
v2b,120,163,0,1,0,TP
v2b,120,137,0,1,0,TP
v2b,120,169,0,1,0,TP
v2b,120,194,0,1,0,TP
v2b,120,200,0,1,0,TP
v2b,120,131,0,1,0,TP
v2b,120,161,0,1,0,TP
v2b,120,140,0,1,0,TP
v2b,120,170,0,1,0,TP
v2b,120,138,0,1,0,TP
v2b,120,154,0,1,0,TP
v2b,120,190,0,1,0,TP
v2b,120,182,0,1,0,TP
v2b,120,180,0,1,0,TP
v2b,120,152,0,1,0,TP
v2b,120,189,0,1,0,TP
v2b,120,146,0,1,0,TP
v2b,120,134,0,1,0,TP
v2b,120,186,0,1,0,TP
v2b,120,127,0,1,0,TP
v2b,120,176,0,1,0,TP
v2b,120,195,0,1,0,TP
v2b,120,143,0,1,0,TP
v2b,120,148,0,1,0,TP
v2b,120,147,0,1,0,TP
v2b,120,158,0,1,0,TP
v2b,120,136,0,1,0,TP
v2b,120,139,0,1,0,TP
v2b,120,197,0,1,0,TP
v2b,120,151,0,1,0,TP
v2b,120,142,0,1,0,TP
v2b,120,167,0,1,0,TP
v2b,120,130,0,1,0,TP
v2b,120,144,0,1,0,TP
v2b,120,179,0,1,0,TP
v2b,120,173,0,1,0,TP
v2b,120,168,0,1,0,TP
v2b,120,204,0,1,0,TP
v2b,120,196,0,1,0,TP
v2b,120,187,0,1,0,TP
v2b,120,129,0,1,0,TP
v2b,120,192,0,1,0,TP
v2b,120,193,0,1,0,TP
v2b,120,184,0,1,0,TP
v2b,120,165,0,1,0,TP
v2b,120,141,0,1,0,TP
v2b,120,128,0,1,0,TP
v2b,120,177,0,1,0,TP
v2b,120,135,0,1,0,TP
v2b,120,183,0,1,0,TP
v2b,120,164,0,1,0,TP
v2b,120,157,0,1,0,TP
v2b,120,160,0,1,0,TP
v2b,120,199,0,1,0,TP
v2b,120,203,0,1,0,TP
v2b,120,198,0,1,0,TP
v2b,120,181,0,1,0,TP
v2b,120,172,0,1,0,TP
