scenario,atk_count,cycle,time_s,node_id,is_attacker,beacon_count,n_intervals,beta_i
v1a,30,0,1.998,35,0,10,9,0.000000
v1a,30,0,1.998,36,0,10,9,0.000000
v1a,30,0,1.998,37,0,10,9,0.000000
v1a,30,0,1.998,38,0,10,9,0.000000
v1a,30,0,1.998,39,0,10,9,0.000000
v1a,30,0,1.998,40,0,10,9,0.000000
v1a,30,0,1.998,41,0,10,9,0.000000
v1a,30,0,1.998,42,0,10,9,0.000000
v1a,30,0,1.998,43,0,10,9,0.000000
v1a,30,0,1.998,44,0,9,8,0.000000
v1a,30,0,1.998,45,0,10,9,0.000000
v1a,30,0,1.998,46,0,10,9,0.000000
v1a,30,0,1.998,47,0,10,9,0.000000
v1a,30,0,1.998,48,0,10,9,0.000000
v1a,30,0,1.998,49,0,10,9,0.000000
v1a,30,0,1.998,50,0,10,9,0.000000
v1a,30,0,1.998,51,0,10,9,0.000000
v1a,30,0,1.998,52,0,10,9,0.000000
v1a,30,0,1.998,53,0,10,9,0.000000
v1a,30,0,1.998,54,0,10,9,0.000000
v1a,30,0,1.998,55,0,10,9,0.000000
v1a,30,0,1.998,56,0,9,8,0.000000
v1a,30,0,1.998,57,0,10,9,0.000000
v1a,30,0,1.998,58,0,10,9,0.000000
v1a,30,0,1.998,59,0,10,9,0.000000
v1a,30,0,1.998,60,0,10,9,0.000000
v1a,30,0,1.998,61,0,10,9,0.000000
v1a,30,0,1.998,62,0,10,9,0.000000
v1a,30,0,1.998,63,0,10,9,0.000000
v1a,30,0,1.998,64,0,10,9,0.000000
v1a,30,0,1.998,65,0,10,9,0.000000
v1a,30,0,1.998,66,0,10,9,0.000000
v1a,30,0,1.998,67,0,10,9,0.000000
v1a,30,0,1.998,68,0,10,9,0.000000
v1a,30,0,1.998,69,0,10,9,0.000000
v1a,30,0,1.998,70,0,10,9,0.000000
v1a,30,0,1.998,71,0,10,9,0.000000
v1a,30,0,1.998,72,0,10,9,0.000000
v1a,30,0,1.998,73,0,10,9,0.000000
v1a,30,0,1.998,74,0,10,9,0.000000
v1a,30,0,1.998,75,0,10,9,0.000000
v1a,30,0,1.998,76,0,10,9,0.000000
v1a,30,0,1.998,77,0,10,9,0.000000
v1a,30,0,1.998,78,0,10,9,0.000000
v1a,30,0,1.998,79,0,10,9,0.000000
